N	3gram	Berdyaev_V_1	Problemy
1	как бы в	1	4
2	и т д	2	4
3	с другой стороны	1	3
4	как и в	1	3
5	том что он	2	2
6	сознании и в	1	2
7	в конце концов	1	2
8	но все же	1	2
9	но прежде всего	1	1
10	а между тем	2	1
11	в этом мире	1	1
12	очень важное место	1	1
13	и в жизни	1	1
14	знает может быть	1	1
15	есть прежде всего	1	1
16	по крайней мере	1	1
17	хотя бы и	1	1
18	в сознании и	1	1
19	бы то ни	1	1
20	но и в	2	1
21	что он так	1	1
22	вместо того чтобы	2	1
23	это еще не	2	1
24	так и в	1	1
25	проявляется и в	1	1
26	в последнем же	1	1
27	после того как	1	1
28	уже и не	1	1
29	в том что	2	1
