N	3gram	Trubetskoy_1	PoTuStor
1	с точки зрения	9	6
2	на самом деле	6	4
3	с самого начала	1	4
4	до сих пор	5	3
5	по крайней мере	1	3
6	во всяком случае	6	3
7	не может быть	4	3
8	в большинстве случаев	2	3
9	так же как	1	2
10	в самом деле	1	2
11	в его целом	1	2
12	о том что	2	2
13	и в этом	1	2
14	нечего и говорить	1	2
15	даже тогда когда	1	1
16	и того же	1	1
17	уже знаем что	1	1
18	жизни и деятельности	2	1
19	прежде всего на	1	1
20	зависит от того	1	1
21	дело в том	1	1
22	во всех областях	1	1
23	знаем что и	1	1
24	но даже и	1	1
25	одного и того	1	1
26	во многих случаях	1	1
27	во всем мире	1	1
28	то же самое	1	1
29	конечно не может	1	1
30	бы то ни	4	1
31	не может иметь	1	1
32	это именно так	1	1
33	в этом отношении	1	1
34	можно было бы	3	1
35	но мы знаем	1	1
36	вместе с тем	3	1
37	только для того	1	1
38	в данном случае	3	1
39	никакому сомнению что	1	1
40	то ни было	1	1
41	в связи с	1	1
42	хотя бы ценою	1	1
43	в применении к	1	1
44	всяком случае не	1	1
45	с нею и	1	1
46	для достижения этой	1	1
47	того же положения	1	1
48	в этом и	1	1
49	в том что	7	1
50	и таким образом	1	1
51	к себе но	1	1
52	в любви к	1	1
53	говорить о том	1	1
54	в одно прекрасное	1	1
55	это и есть	1	1
56	не будет как	1	1
57	и прежде всего	1	1
58	альфой и омегой	1	1
59	и ту же	1	1
60	но мы уже	1	1
61	одно прекрасное утро	1	1
62	друг с другом	14	1
63	мы уже знаем	1	1
64	быть не может	1	1
65	для того чтобы	6	1
66	одну и ту	1	1
67	достижения этой цели	1	1
68	на первый взгляд	1	1
69	той или иной	3	1
