N	3gram	Berdyaev_N_1	Psycholo
1	в том что	1	11
2	до сих пор	1	5
3	с одной стороны	2	5
4	с другой стороны	2	5
5	о том что	1	3
6	и во всех	1	2
7	то что в	1	2
8	в наше время	3	2
9	вместе с тем	2	2
10	то время как	1	2
11	не в том	1	2
12	во всяком случае	1	2
13	то что он	1	2
14	я не могу	1	2
15	в то время	1	2
16	и вместе с	1	2
17	о человеке и	1	2
18	в том смысле	1	2
19	и в ней	1	1
20	такой же мере	1	1
21	а не к	1	1
22	что в этом	1	1
23	в том и	2	1
24	том и заключается	2	1
25	в свои права	2	1
26	не имеют никакого	1	1
27	он не может	2	1
28	это совсем не	2	1
29	в зависимости от	1	1
30	в отличие от	1	1
31	в том случае	1	1
32	но это совсем	1	1
33	и заключается что	2	1
34	заключает в себе	1	1
35	можно было бы	1	1
36	том случае если	1	1
37	конечно не в	1	1
38	в зависимость от	1	1
39	в такой же	1	1
40	это не есть	1	1
41	видим перед собой	1	1
42	вступает в свои	1	1
43	и к ней	1	1
44	мы выходим из	1	1
45	в том чтобы	1	1
46	не к чему	1	1
47	никогда еще не	1	1
48	не может быть	4	1
49	в высшей степени	6	1
50	она не может	2	1
51	подобно тому как	3	1
52	мысли в том	1	1
