N	3gram	Tiupa_Lite_3	Stilisti
1	в то же	7	9
2	то же время	7	7
3	для того чтобы	1	7
4	с точки зрения	3	5
5	то же самое	2	4
6	ту или иную	1	4
7	в свою очередь	1	4
8	той или иной	2	4
9	на самом деле	1	3
10	но и в	2	3
11	не только в	2	3
12	которое может быть	1	3
13	и тем самым	2	3
14	и т.п и	1	3
15	и не только	1	2
16	вместе с тем	1	2
17	в этом отношении	5	2
18	в значительной степени	1	2
19	на первый взгляд	1	2
20	но при этом	1	2
21	как бы в	1	2
22	не может быть	3	2
23	не что иное	1	2
24	о том что	4	2
25	что иное как	1	2
26	в связи с	1	2
27	к тому что	1	2
28	в другом месте	1	1
29	и к тому	1	1
30	в хх веке	3	1
31	особое место в	2	1
32	а затем и	1	1
33	по отношению к	4	1
34	более или менее	1	1
35	не говоря уже	4	1
36	говоря уже об	1	1
37	в самом деле	2	1
38	звонкую силу поэта	1	1
39	и при этом	1	1
40	в этой ситуации	2	1
41	как это будет	1	1
42	в себе и	1	1
43	при этом не	1	1
44	хотя бы и	1	1
45	тем что он	2	1
46	тем не менее	1	1
47	по большей части	2	1
48	понимать друг друга	1	1
49	свою звонкую силу	1	1
50	но не только	1	1
51	содержит в себе	1	1
52	в конечном счете	1	1
53	не только не	1	1
54	вопрос о том	1	1
55	до какой степени	1	1
56	с другой стороны	2	1
57	только в том	1	1
58	это как бы	1	1
59	и отношения к	1	1
60	всю свою звонкую	1	1
61	в том что	4	1
62	слово как таковое	1	1
63	на наш взгляд	1	1
64	только в живом	1	1
65	из героев достоевского	1	1
