N	3gram	Tiupa_Anal_2	Vvedenie
1	в том что	6	12
2	о том что	6	12
3	в этом смысле	2	8
4	не может быть	1	8
5	тем не менее	3	8
6	в самом деле	1	6
7	в применении к	1	6
8	то же время	2	6
9	в то же	2	6
10	с другой стороны	2	5
11	что иное как	1	4
12	по отношению к	4	4
13	в этом случае	4	4
14	в этом отношении	3	4
15	можно было бы	2	4
16	на этот вопрос	1	4
17	по крайней мере	3	4
18	в данном случае	5	4
19	не только в	2	4
20	и в этом	4	4
21	так или иначе	1	4
22	не что иное	1	4
23	с одной стороны	4	4
24	в известном смысле	1	3
25	заключается в том	1	3
26	и в самом	2	3
27	можно сказать что	1	3
28	сама по себе	1	3
29	в свое время	1	3
30	состоит в том	4	2
31	подобно тому как	3	2
32	во второй половине	1	2
33	в соответствии с	2	2
34	то же самое	1	2
35	с точки зрения	2	2
36	хотя бы и	1	2
37	точно так же	1	2
38	дело не с	1	2
39	в связи с	1	2
40	в целом ряде	1	2
41	есть не что	1	2
42	ответ на этот	1	2
43	в этих случаях	1	2
44	той или иной	3	2
45	говорилось о том	1	1
46	а между тем	1	1
47	каждом из них	1	1
48	сказать что в	1	1
49	как уже говорилось	2	1
50	мы имеем дело	3	1
51	прежде всего в	1	1
52	как один из	1	1
53	более или менее	1	1
54	никак не может	1	1
55	как это было	1	1
56	в таком случае	2	1
57	прямо говорит о	1	1
58	по поводу того	1	1
59	и цельную картину	1	1
60	в отличие от	2	1
61	которая сама по	1	1
62	но и в	1	1
63	только то что	1	1
64	как и наоборот	1	1
65	том или ином	2	1
66	в самом его	1	1
67	в том-то и	1	1
68	имеем дело с	1	1
69	с этой точки	1	1
70	и то что	2	1
71	одно и то	1	1
72	уже было сказано	1	1
73	и тогда когда	1	1
74	в том или	2	1
75	а не только	2	1
76	его можно было	1	1
77	и т.д в	1	1
78	ответ на вопрос	1	1
79	все что может	1	1
80	и то же	1	1
81	но если бы	1	1
82	уже не к	1	1
83	этой точки зрения	1	1
84	а в том	1	1
85	в частности в	2	1
86	же самое что	1	1
87	в свою очередь	1	1
88	того или иного	3	1
89	в этом втором	1	1
90	в этой системе	2	1
91	как уже было	1	1
92	обратим внимание на	1	1
93	к тому что	1	1
94	могут быть в	1	1
95	все это делает	1	1
