N	2gram	Bakhtin_Pr_2	BTomashe
1	у нас	2	3
2	и не	42	2
3	все это	5	2
4	в ней	7	2
5	можно было	2	2
6	крайней мере	2	1
7	более что	1	1
8	художественного произведения	1	1
9	же не	1	1
10	за пределы	5	1
11	не укладывается	2	1
12	тем более	1	1
13	говорить о	1	1
14	об этом	3	1
15	и в	45	1
16	и о	2	1
17	со всем	1	1
18	произведении что	1	1
19	что все	3	1
20	по отдельным	1	1
21	с другой	1	1
22	в своей	6	1
23	своей книге	1	1
24	на самом	1	1
25	на которой	1	1
26	как будто	1	1
27	и нет	1	1
28	было бы	4	1
29	все же	4	1
30	художественная функция	1	1
31	а о	3	1
32	кроме того	1	1
33	установка на	1	1
34	никак не	1	1
35	между ними	4	1
36	точке зрения	3	1
37	еще не	9	1
38	и на	7	1
39	автора по	2	1
40	в пределах	4	1
41	только одной	1	1
42	стоит на	1	1
43	одной из	2	1
44	должна быть	3	1
45	прежде всего	11	1
46	в данном	1	1
47	так и	3	1
48	о них	2	1
49	не было	2	1
50	в книге	1	1
51	его не	1	1
52	является только	1	1
53	из своей	1	1
54	совершенно не	1	1
55	понимания художественной	1	1
56	далеко не	4	1
57	не о	2	1
58	всего в	1	1
59	до конца	7	1
60	нельзя не	1	1
61	стиля и	1	1
62	а не	10	1
63	что в	6	1
64	в области	2	1
65	другой стороны	1	1
66	также не	2	1
67	и ее	7	1
68	не все	1	1
69	произведения все	1	1
70	и правильнее	1	1
71	по крайней	2	1
72	таким образом	11	1
73	и более	2	1
74	и потому	6	1
75	не только	16	1
76	и свободный	1	1
77	во всяком	1	1
78	целиком в	1	1
79	в эпоху	1	1
