N	3gram	Medvedev_U_1	Tvorches
1	в то же	3	13
2	то же время	3	12
3	в том что	2	6
4	по нашему мнению	3	5
5	в конечном счете	4	4
6	но в то	1	4
7	является одним из	1	2
8	по крайней мере	2	2
9	в данном случае	1	2
10	не только в	1	2
11	можно сказать что	1	2
12	и в то	1	2
13	равно как и	1	1
14	имеем в виду	1	1
15	то же самое	2	1
16	о котором говорил	1	1
17	до сих пор	2	1
18	хотя бы и	2	1
19	а не то	1	1
20	в первую очередь	1	1
21	не могут быть	2	1
22	бы то ни	3	1
23	все это в	1	1
24	в этой области	3	1
25	то ни было	3	1
26	с одной стороны	1	1
27	в конце концов	2	1
28	и в их	1	1
29	в этом плане	1	1
30	процессе художественного творчества	1	1
31	мы имеем в	1	1
32	с другой стороны	3	1
33	в процессе художественного	1	1
34	но это не	1	1
35	на первый взгляд	1	1
