N	2gram	Savitsky_E_1	Komedia
1	iv в	1	34
2	и в	37	26
3	и не	14	14
4	и его	1	12
5	к тому	8	12
6	так и	10	12
7	тому же	1	11
8	может быть	6	11
9	в том	11	11
10	в этом	12	10
11	но и	14	10
12	столь же	5	9
13	том что	6	9
14	если бы	2	9
15	вместе с	2	9
16	что в	21	9
17	было бы	8	8
18	и на	6	7
19	не только	18	7
20	на себя	3	7
21	что и	3	7
22	из них	3	7
23	ли не	1	7
24	в своем	14	6
25	о том	3	6
26	в нем	1	6
27	таким образом	2	6
28	в то	16	6
29	того чтобы	6	6
30	потому что	3	6
31	в двух	1	6
32	наряду с	2	6
33	то что	6	6
34	с его	1	5
35	в истории	2	5
36	независимо от	4	5
37	с этим	2	5
38	для того	6	5
39	а затем	1	5
40	на основании	2	5
41	с тем	3	5
42	и с	2	5
43	больше чем	1	5
44	один из	1	5
45	в качестве	14	5
46	уже в	1	4
47	более чем	2	4
48	хотя и	2	4
49	в самом	4	4
50	что это	2	4
51	с их	1	4
52	в них	3	4
53	как и	7	4
54	в этих	2	4
55	место в	3	4
56	тому что	1	4
57	не менее	1	4
58	и новой	1	4
59	с и	10	4
60	как будто	2	4
61	как мы	5	4
62	можно было	3	4
63	еще в	1	4
64	между тем	8	4
65	в его	2	4
66	только в	9	4
67	же в	2	4
68	в начале	1	4
69	этот раз	1	4
70	так как	7	4
71	в последние	6	4
72	на этот	2	4
73	что для	1	4
74	прежде всего	9	4
75	мира в	4	4
76	в частности	5	4
77	как это	4	4
78	все же	1	4
79	и для	3	4
80	и от	3	4
81	одной из	5	4
82	точки зрения	23	4
83	речь идет	1	3
84	например в	1	3
85	тех же	1	3
86	в котором	2	3
87	то же	15	3
88	в их	11	3
89	той же	1	3
90	вопрос о	4	3
91	того же	3	3
92	в ней	4	3
93	что его	1	3
94	во всех	6	3
95	но не	5	3
96	по отношению	1	3
97	как в	3	3
98	но в	14	3
99	в этой	2	3
100	друг другу	1	3
101	средней и	1	3
102	но все	1	3
103	но если	5	3
104	из числа	4	3
105	в обоих	1	3
106	не имеет	4	3
107	в самой	1	3
108	же время	14	3
109	к концу	1	3
110	связи с	1	3
111	что на	2	3
112	многие из	1	3
113	и сам	1	3
114	то время	1	3
115	и поэтому	2	3
116	к нему	2	3
117	а у	1	3
118	дело с	1	3
119	для всех	1	3
120	мы знаем	1	3
121	и их	1	3
122	представить себе	1	3
123	мы можем	3	3
124	тем что	3	3
125	даже не	1	3
126	или иначе	1	3
127	не было	1	3
128	так называемой	1	3
129	в связи	1	3
130	в тех	1	3
131	войны и	2	3
132	с этой	6	3
133	или в	2	3
134	для нас	4	3
135	а в	2	3
136	в своей	8	3
137	жизни и	2	3
138	том числе	1	3
139	не может	9	3
140	как известно	1	2
141	также что	1	2
142	и т	1	2
143	малой азии	1	2
144	перед лицом	1	2
145	мы не	4	2
146	время как	1	2
147	говорить о	1	2
148	то это	1	2
149	меньше чем	2	2
150	бы то	4	2
151	в ее	8	2
152	чем это	1	2
153	и другие	1	2
154	если в	2	2
155	силу этого	1	2
156	отличие от	1	2
157	отнюдь не	9	2
158	идет о	3	2
159	в одной	1	2
160	целый ряд	2	2
161	что по	1	2
162	имеет в	2	2
163	от этого	5	2
164	с той	1	2
165	бы и	3	2
166	чуть ли	1	2
167	в нашем	1	2
168	и если	2	2
169	он не	2	2
170	и еще	2	2
171	в принципе	1	2
172	античного мира	1	2
173	в силу	2	2
174	на этом	1	2
175	то ни	4	2
176	об этом	1	2
177	этом смысле	3	2
178	чем в	4	2
179	в развитии	2	2
180	когда в	1	2
181	не более	3	2
182	всяком случае	3	2
183	представление о	2	2
184	в отличие	1	2
185	признать что	1	2
186	которые в	1	2
187	не в	5	2
188	вовсе не	6	2
189	даже в	4	2
190	на пути	1	2
191	одна из	1	2
192	в одном	2	2
193	такая же	1	2
194	не является	3	2
195	с другом	3	2
196	всего в	2	2
197	и это	1	2
198	как не	2	2
199	говоря уже	2	2
200	и что	2	2
201	в мире	2	2
202	с собой	1	2
203	в построении	1	2
204	римской империи	1	2
205	в состав	1	2
206	или на	1	2
207	времени в	1	2
208	и во	2	2
209	и все	2	2
210	в другой	2	2
211	вслед за	6	2
212	также в	2	2
213	с которыми	1	2
214	тот же	1	2
215	с ними	1	2
216	в какой	2	2
217	одних и	1	2
218	и ее	1	2
219	с одной	8	2
220	одно из	1	2
221	от того	1	2
222	в других	2	2
223	рядом с	1	2
224	со стороны	5	2
225	и к	3	2
226	с другой	7	2
227	этого времени	1	2
228	одной стороны	8	2
229	а на	1	2
230	у других	1	2
231	с которым	1	2
232	что из	1	2
233	если не	1	2
234	так называемых	1	2
235	мы находим	1	2
236	уже о	1	2
237	чем на	2	2
238	по своему	7	2
239	в течение	5	2
240	в той	5	2
241	одновременно с	1	2
242	как бы	6	2
243	о соотношении	1	2
244	друг с	3	2
245	каждой из	1	2
246	более поздние	2	2
247	бы в	2	2
248	еще более	2	2
249	хотя бы	15	2
250	ни было	4	2
251	не говоря	2	2
252	частности в	2	2
253	с г	1	2
254	во всяком	3	2
255	и отчасти	2	1
