N	3gram	Berdyaev_M_2	Narrotol
1	в том что	2	5
2	той или иной	1	4
3	не может быть	8	4
4	по отношению к	2	3
5	подобно тому как	2	3
6	в этом отношении	1	3
7	для того чтобы	4	3
8	о том что	2	2
9	так и не	1	2
10	до сих пор	3	2
11	друг на друга	1	2
12	но и в	1	2
13	на то что	1	2
14	друг для друга	2	2
15	в центре внимания	1	2
16	что иное как	3	1
17	никогда не было	3	1
18	такого рода исследований	1	1
19	же как и	3	1
20	с точки зрения	1	1
21	как и все	1	1
22	было для него	1	1
23	сам по себе	1	1
24	друг друга как	1	1
25	всего лишь одно	1	1
26	было не до	1	1
27	у него нет	3	1
28	мы еще вернемся	2	1
29	может быть и	2	1
30	еще вернемся к	1	1
31	все что было	2	1
32	что это за	1	1
33	как и в	2	1
34	в ней есть	2	1
35	все та же	1	1
36	в себе ее	1	1
37	в значительной степени	1	1
38	потому что в	1	1
39	он уже не	1	1
40	и та же	2	1
41	одна и та	2	1
42	что у него	1	1
43	а не в	2	1
44	в стороне от	1	1
45	не мог бы	1	1
46	преступление и наказание	1	1
47	жизни а для	1	1
48	на протяжении всего	1	1
49	у нас нет	1	1
50	и не то	1	1
51	если бы не	1	1
52	во втором случае	1	1
53	к тому что	3	1
54	на самом деле	1	1
55	во всех его	1	1
