N	3gram	Nazirov_Tv_1	Hudozhes
1	по отношению к	1	10
2	в отличие от	1	7
3	то же время	12	6
4	в то же	13	6
5	с другой стороны	1	5
6	в том что	6	5
7	и того же	1	3
8	одного и того	1	3
9	в конечном счете	4	3
10	тем не менее	2	3
11	можно сказать что	2	3
12	и в то	2	2
13	войне и мире	1	2
14	с одной стороны	1	2
15	в свою очередь	1	2
16	а на деле	1	2
17	в войне и	1	2
18	в русской литературе	2	2
19	по сути дела	3	2
20	к тому что	1	2
21	добро и зло	1	1
22	что иное как	1	1
23	может быть назван	1	1
24	имеем в виду	1	1
25	в настоящее время	1	1
26	у достоевского в	3	1
27	может быть определен	1	1
28	в одной из	2	1
29	преступлении и наказании	3	1
30	что он не	1	1
31	бы то ни	1	1
32	в каждом человеке	2	1
33	только то что	1	1
34	заключает в себе	1	1
35	точно так же	2	1
36	по крайней мере	2	1
37	отношений между людьми	1	1
38	и со всеми	1	1
39	то что может	1	1
40	то ни было	1	1
41	таким образом и	1	1
42	к вопросу о	1	1
43	же время они	1	1
44	в известном смысле	1	1
45	не могут быть	1	1
46	и как бы	1	1
47	в связи с	1	1
48	в первую очередь	1	1
49	свое я в	1	1
50	по себе а	1	1
51	перед тем как	1	1
52	становится самим собой	1	1
53	в преступлении и	4	1
54	о том что	5	1
55	и в самом	1	1
56	ту или иную	1	1
57	мы имеем в	1	1
58	не что иное	1	1
59	в отношении к	1	1
60	дело не в	1	1
61	в соответствии с	3	1
62	человека и его	2	1
63	как и в	1	1
64	к тому же	1	1
65	является как бы	1	1
66	с самим собой	1	1
