N	3gram	Medvedev_F_2	Problema
1	с точки зрения	7	11
2	тем не менее	1	10
3	в том что	2	8
4	по крайней мере	1	6
5	сам по себе	3	6
6	с другой стороны	3	6
7	в данном случае	1	5
8	в какой мере	2	4
9	но даже и	1	4
10	во всяком случае	5	4
11	имеем в виду	1	3
12	на самом деле	3	3
13	в этом смысле	2	3
14	только в том	1	3
15	то и другое	2	3
16	вместе с тем	4	3
17	в зависимости от	3	3
18	в связи с	10	3
19	и во всяком	1	3
20	того или иного	4	3
21	той или другой	1	3
22	и т д	5	3
23	мы ни взяли	1	2
24	то только в	1	2
25	что перед нами	1	2
26	не говоря уже	1	2
27	к своему пределу	1	2
28	что иное как	1	2
29	и в других	1	2
30	сами по себе	2	2
31	в том смысле	3	2
32	а если и	1	2
33	даже и не	2	2
34	в том или	1	2
35	в том чтобы	1	2
36	для того чтобы	3	2
37	перед нами отнюдь	1	2
38	более или менее	1	2
39	есть не что	1	2
40	не что иное	1	2
41	чем иным как	1	2
42	нами отнюдь не	1	2
43	ничего общего с	1	2
44	не чем иным	1	2
45	и прежде всего	2	2
46	в то же	5	2
47	не сам по	1	2
48	сама по себе	1	2
49	вовсе не является	1	2
50	но все же	2	1
51	в чем не	1	1
52	в других областях	1	1
53	сам он не	1	1
54	иметь в виду	1	1
55	тем что оно	2	1
56	мы имеем в	1	1
57	которая не была	1	1
58	равно как и	1	1
59	в таком виде	1	1
60	в предисловии к	2	1
61	перестал бы быть	1	1
62	нам кажется что	1	1
63	что же касается	1	1
64	в области гуманитарных	1	1
65	как раз и	3	1
66	и не в	2	1
67	и для всех	1	1
68	и не может	3	1
69	и в то	3	1
70	что он не	1	1
71	бы то ни	1	1
72	ни в чем	2	1
73	только то что	1	1
74	при помощи этого	1	1
75	говоря уже о	1	1
76	является не чем	1	1
77	в таком случае	1	1
78	до сих пор	1	1
79	же в таком	1	1
80	прежде всего как	1	1
81	с одной стороны	1	1
82	вовсе не обязательно	1	1
83	в конце концов	2	1
84	в том как	1	1
85	он не является	1	1
86	смысле что он	2	1
87	не в том	3	1
88	художественной обработке и	2	1
89	не тем что	1	1
90	но именно в	1	1
91	несмотря на свой	1	1
92	прежде всего в	2	1
93	каким мы его	1	1
94	по себе а	2	1
95	уже потому что	1	1
96	в подавляющем большинстве	1	1
97	не была бы	1	1
98	том смысле что	2	1
99	области гуманитарных наук	1	1
100	так и в	3	1
101	быть даже и	1	1
102	в свою очередь	1	1
103	это и есть	1	1
104	и т п	9	1
105	и тем самым	1	1
106	с самого начала	2	1
107	времени и пространстве	1	1
108	не происходит в	1	1
109	и методы их	1	1
110	в настоящее время	1	1
111	по этому поводу	1	1
112	к тому что	2	1
113	было бы сказать	1	1
114	в этой области	1	1
115	как и в	1	1
116	может быть даже	1	1
