N	3gram	Nazirov_Tv_1	Marksizm
1	по отношению к	1	8
2	то же время	12	8
3	в то же	13	8
4	в связи с	1	7
5	в том что	6	6
6	то же самое	1	5
7	но в то	4	5
8	на этой почве	1	5
9	с самого начала	3	5
10	в свою очередь	1	5
11	и того же	1	4
12	бы то ни	1	4
13	то ни было	1	4
14	в отношении к	1	4
15	на самом деле	2	4
16	одного и того	1	4
17	самом же деле	1	3
18	в отличие от	1	3
19	на самом же	1	3
20	до сих пор	1	3
21	с одной стороны	1	3
22	о том что	5	3
23	лежащая в основе	1	3
24	к тому что	1	3
25	мы никогда не	1	2
26	по крайней мере	2	2
27	все более и	1	2
28	так и от	1	2
29	более и более	1	2
30	к тому же	1	2
31	добро и зло	1	1
32	и добро и	1	1
33	что иное как	1	1
34	в основе всех	1	1
35	прежде всего на	1	1
36	чуть ли не	1	1
37	не сами по	1	1
38	дело в том	3	1
39	в соответствии с	3	1
40	мы знаем из	1	1
41	он не может	1	1
42	о котором говорил	1	1
43	по мере приближения	1	1
44	сами по себе	1	1
45	далеко не так	1	1
46	в первую очередь	1	1
47	а может быть	1	1
48	и xix век	1	1
49	и правильное понимание	1	1
50	же время они	1	1
51	и в других	1	1
52	не столько выражение	1	1
53	уже говорили что	1	1
54	не только в	2	1
55	к вопросу о	1	1
56	а как бы	1	1
57	тем не менее	2	1
58	не могут быть	1	1
59	их место в	1	1
60	понимая под ним	1	1
61	что он как	1	1
62	мы уже говорили	1	1
63	оно могло бы	1	1
64	с другой стороны	1	1
65	и в свою	1	1
66	по себе а	1	1
67	каких бы то	1	1
68	в конечном счете	4	1
69	не что иное	1	1
70	в русской литературе	2	1
71	то что его	1	1
72	можно сказать что	2	1
73	мере приближения к	1	1
74	как и в	1	1
75	в отрыве от	1	1
76	является как бы	1	1
77	нам кажется что	1	1
