N	2gram	Kanaev_Sov_1	Myshleni
1	в развитии	4	28
2	в этом	7	25
3	таким образом	11	19
4	точки зрения	12	18
5	в том	4	18
6	не может	17	18
7	не только	4	16
8	и в	7	16
9	так как	4	16
10	что в	2	16
11	том что	1	15
12	так же	1	15
13	между собой	3	13
14	в процессе	1	13
15	сказать что	1	13
16	вопрос о	4	12
17	по отношению	1	12
18	в области	3	12
19	и что	2	12
20	и не	6	12
21	и развития	1	12
22	отношению к	1	12
23	в его	2	11
24	развития и	1	11
25	но не	1	10
26	было бы	3	10
27	как мы	2	10
28	только в	1	10
29	а не	3	10
30	с помощью	4	10
31	с точки	5	9
32	может быть	12	9
33	то же	3	8
34	в известном	1	8
35	должно быть	1	8
36	как и	6	8
37	если бы	1	8
38	о том	1	8
39	он не	1	8
40	точка зрения	1	8
41	мы должны	4	8
42	же как	1	7
43	того же	1	7
44	и есть	2	7
45	в нем	3	7
46	по себе	1	7
47	приводит к	2	7
48	известном смысле	1	7
49	если мы	4	7
50	с другом	2	7
51	друг с	2	7
52	но в	3	6
53	в этой	3	6
54	как он	3	6
55	в другом	1	6
56	но если	1	6
57	не в	3	6
58	для развития	2	6
59	своего развития	1	6
60	что все	2	6
61	и следовательно	1	6
62	этот вопрос	1	6
63	мы можем	6	6
64	у него	2	6
65	развития в	2	6
66	в какой	1	6
67	в такой	1	5
68	мере в	1	5
69	в своем	1	5
70	в которой	2	5
71	он должен	2	5
72	с ним	1	5
73	что с	1	5
74	самого начала	3	5
75	в то	1	5
76	никогда не	1	5
77	ничего не	6	5
78	с самого	3	5
79	можно было	1	5
80	же мере	1	5
81	но мы	3	5
82	значит что	1	5
83	тот же	2	5
84	как бы	4	5
85	это значит	1	5
86	с необходимостью	3	5
87	не является	1	5
88	еще более	2	5
89	не знает	1	5
90	функций и	1	5
91	как известно	2	4
92	той же	2	4
93	к началу	1	4
94	опирается на	1	4
95	процессе развития	1	4
96	в самом	2	4
97	все эти	5	4
98	при этом	3	4
99	и по	2	4
100	это не	4	4
101	такой же	2	4
102	для объяснения	1	4
103	мысли в	1	4
104	не имеет	1	4
105	могут быть	2	4
106	же самое	2	4
107	еще не	3	4
108	и т.д	3	4
109	развития но	2	4
110	и их	1	4
111	не могут	2	4
112	с другой	1	4
113	именно в	1	4
114	к которому	1	4
115	на этот	2	4
116	и составляет	1	4
117	вместе с	4	4
118	в целом	4	4
119	мы видим	2	4
120	в результате	6	4
121	в системе	3	4
122	связей и	1	4
123	в свою	2	4
124	функции в	1	3
125	самом деле	2	3
126	это и	1	3
127	между двумя	1	3
128	в первом	3	3
129	мы не	9	3
130	говорить о	2	3
131	развитии в	1	3
132	он может	3	3
133	но как	1	3
134	если в	1	3
135	с этим	2	3
136	все же	3	3
137	в действительности	1	3
138	он в	3	3
139	и тот	1	3
140	на этом	2	3
141	и может	1	3
142	мы видели	4	3
143	таким же	1	3
144	сих пор	1	3
145	и более	1	3
146	из которых	2	3
147	не менее	2	3
148	что эта	1	3
149	но что	1	3
150	только не	1	3
151	вытекает из	1	3
152	и его	1	3
153	связи с	1	3
154	ничего общего	1	3
155	речи мы	1	3
156	свою очередь	2	3
157	еще в	1	3
158	до сих	1	3
159	этих двух	2	3
160	к нему	1	3
161	а потому	1	3
162	одной из	1	3
163	с одной	2	3
164	его и	1	3
165	мы знаем	2	3
166	в одном	3	3
167	а в	4	3
168	на которые	1	3
169	один и	1	3
170	прежде всего	5	3
171	этих процессов	1	3
172	чем в	1	3
173	по существу	1	3
174	этом случае	1	3
175	но это	1	3
176	одной стороны	1	3
177	что следовательно	1	3
178	к этому	1	3
179	значение в	2	3
180	они не	1	3
181	мы имели	1	2
182	такое же	1	2
183	не имеют	1	2
184	в зависимости	4	2
185	их и	1	2
186	есть не	1	2
187	зависимости от	4	2
188	процесс развития	1	2
189	в ней	1	2
190	быть в	1	2
191	на их	2	2
192	во всех	1	2
193	мы будем	1	2
194	отличие от	2	2
195	стороны и	1	2
196	как всякая	1	2
197	и к	3	2
198	в этот	1	2
199	то и	2	2
200	нами в	1	2
201	только один	2	2
202	на его	2	2
203	что она	3	2
204	что сказать	1	2
205	к одному	1	2
206	в корне	1	2
207	свое время	1	2
208	одному и	1	2
209	но все	2	2
210	в совершенно	1	2
211	те же	1	2
212	при которой	1	2
213	мы постараемся	1	2
214	все равно	1	2
215	оно имеет	1	2
216	понятия и	1	2
217	самое что	1	2
218	в отличие	2	2
219	все это	3	2
220	их в	4	2
221	же мы	2	2
222	но они	1	2
223	но только	1	2
224	же процесс	1	2
225	видим что	1	2
226	ничто не	1	2
227	для его	2	2
228	уже на	1	2
229	том как	1	2
230	говорим о	2	2
231	и из	1	2
232	его в	1	2
233	развития из	1	2
234	может иметь	2	2
235	со всеми	2	2
236	только на	1	2
237	развития мы	2	2
238	ни одного	1	2
239	же в	1	2
240	не дает	2	2
241	из них	4	2
242	эти три	1	2
243	вовсе не	1	2
244	и даже	2	2
245	только к	1	2
246	у нас	3	2
