N	3gram	Bakhtin_Pr_2	RusskieA
1	в том что	4	15
2	в этом случае	1	5
3	и в других	1	4
4	о том что	3	4
5	с точки зрения	9	3
6	тем не менее	1	3
7	один из них	1	2
8	в равной степени	1	2
9	это не значит	1	2
10	друг к другу	3	2
11	и некоторые другие	1	2
12	но тем не	1	2
13	но все же	2	2
14	в большинстве случаев	2	2
15	ничего общего не	1	1
16	прямо и непосредственно	1	1
17	и общественных явлений	1	1
18	хотя и не	1	1
19	с таким же	1	1
20	сказать что в	1	1
21	себя и своего	1	1
22	и того же	1	1
23	по отношению к	8	1
24	на самом деле	1	1
25	подобно тому как	2	1
26	же как и	2	1
27	целом ряде других	2	1
28	в таком случае	1	1
29	и в дальнейшем	1	1
30	в них в	1	1
31	в этом отношении	2	1
32	независимо от того	1	1
33	одном из своих	1	1
34	можно было бы	1	1
35	на этот вопрос	1	1
36	и могут быть	1	1
37	он видел в	1	1
38	так как он	1	1
39	иногда и в	1	1
40	у него нет	2	1
41	не потому что	1	1
42	не только в	1	1
43	имеет ничего общего	1	1
44	природных и общественных	1	1
45	в отличие от	1	1
46	и в этом	6	1
47	ничего не знает	1	1
48	и как бы	2	1
49	потому что она	1	1
50	потому что по	1	1
51	в целом ряде	2	1
52	так же как	3	1
53	и в том	2	1
54	не имеет ничего	1	1
55	мы можем судить	1	1
56	в то время	1	1
57	о характере этого	1	1
58	об этом мы	1	1
59	ничего общего с	1	1
60	в одном из	1	1
61	можно сказать что	2	1
62	на то что	2	1
63	одного и того	1	1
64	они со своими	1	1
65	мы видим что	1	1
66	и другими и	1	1
67	друг с другом	2	1
68	быть не может	1	1
69	потому что они	2	1
70	в данном случае	1	1
71	как мы видели	3	1
