N	3gram	Propp_Isto_6	OGranits
1	не может быть	3	4
2	по отношению к	2	3
3	одно и то	1	3
4	что иное как	1	2
5	но так как	3	2
6	в зависимости от	1	2
7	полном соответствии с	1	2
8	в данном случае	3	2
9	в полном соответствии	1	2
10	с одной стороны	7	2
11	и то же	1	2
12	с другой стороны	8	2
13	есть не что	1	2
14	не что иное	1	2
15	в том что	5	2
16	же объясняется что	1	1
17	в другом месте	1	1
18	том что в	2	1
19	греции и в	1	1
20	образом мы можем	1	1
21	с ними и	1	1
22	только потому что	1	1
23	этой точки зрения	1	1
24	там где нет	1	1
25	более или менее	1	1
26	в которых он	1	1
27	подобно тому как	1	1
28	нам кажется что	1	1
29	мы можем установить	2	1
30	и не может	1	1
31	только то что	2	1
32	можно было бы	2	1
33	в античной греции	2	1
34	с этой точки	1	1
35	то или иное	1	1
36	вместе с ними	1	1
37	другой стороны оно	1	1
38	для того чтобы	1	1
39	так же как	1	1
40	уже видели как	1	1
41	эта связь с	2	1
42	а также и	1	1
43	его историческое развитие	1	1
44	тем не менее	1	1
45	и вместе с	1	1
46	все же есть	1	1
47	мы уже видели	3	1
48	в тех случаях	3	1
49	в связи со	1	1
50	в борьбе с	1	1
51	таким образом мы	1	1
52	что в ней	1	1
53	и один из	1	1
54	несмотря на все	1	1
55	есть одно и	1	1
56	на то что	1	1
57	тех случаях когда	3	1
58	прежде всего является	1	1
59	из тела и	1	1
60	как и в	2	1
