N	3gram	Tiupa_Anal_2	FransuaR
1	в то же	2	6
2	то же время	2	6
3	не только в	2	5
4	с точки зрения	2	5
5	но и в	1	4
6	не может быть	1	4
7	о том что	6	3
8	с одной стороны	4	3
9	и во всех	1	3
10	в этом отношении	3	3
11	в свое время	1	3
12	с другой стороны	2	3
13	подобно тому как	3	2
14	в значительной степени	2	2
15	можно сказать что	1	2
16	и даже в	1	2
17	только то что	1	2
18	содержит в себе	3	2
19	так и на	1	2
20	и тот же	1	1
21	лишь в тех	1	1
22	в самом его	1	1
23	до некоторой степени	1	1
24	в одну из	1	1
25	друг с другом	1	1
26	они могут быть	1	1
27	тех случаях когда	1	1
28	в сущности это	1	1
29	и не становится	1	1
30	как и в	3	1
31	но лишь моменты	1	1
32	в первую очередь	1	1
33	то есть на	1	1
34	до известной степени	1	1
35	а затем и	1	1
36	но и на	1	1
37	в том что	6	1
38	в этом случае	4	1
39	того или иного	3	1
40	и особенно в	1	1
41	далеко за пределы	1	1
42	по отношению к	4	1
43	не только не	2	1
44	на то что	2	1
45	к тому или	1	1
46	в целом ряде	1	1
47	лишь в самом	1	1
48	в тех случаях	1	1
49	во второй половине	1	1
50	прежде всего в	1	1
51	в борьбе с	2	1
52	не только на	1	1
53	она превращается в	1	1
54	выходит далеко за	1	1
55	то есть в	2	1
56	то есть вне	1	1
57	в начале и	1	1
58	с мотивом смерти	1	1
