N	2gram	Voloshinov_1	FransuaR
1	и в	3	45
2	и не	1	15
3	не только	1	14
4	в его	1	13
5	то же	1	11
6	в то	1	11
7	но и	1	10
8	же время	1	9
9	в ней	1	8
10	и все	1	7
11	связи с	1	6
12	и на	1	5
13	мы видим	1	5
14	не может	4	5
15	точки зрения	1	4
16	а не	1	4
17	бы в	1	4
18	права и	1	3
19	из этих	1	3
20	не менее	1	3
21	для него	1	3
22	с точки	1	2
23	и больше	1	2
24	нет и	1	2
25	он в	1	2
26	несмотря на	1	2
27	во второй	1	2
28	если в	2	2
29	первая часть	1	2
30	конечно и	1	2
31	к тому	1	2
32	в каждом	1	2
33	может быть	1	2
34	в особенности	1	2
35	один из	2	2
36	в системе	1	2
37	нуждаются в	1	1
38	всех участников	1	1
39	смысл и	1	1
40	тому что	1	1
41	теми или	1	1
42	если бы	1	1
43	в языке	1	1
44	и можно	1	1
45	или иными	1	1
46	не связанными	1	1
47	в выборе	1	1
48	вполне понятно	1	1
49	можно назвать	1	1
