N	2gram	Losev_Prob_5	Literetu
1	и не	12	22
2	и в	30	16
3	при этом	4	15
4	в этом	17	14
5	не только	18	14
6	но и	13	14
7	в том	12	12
8	может быть	7	12
9	а не	5	12
10	то что	18	12
11	в частности	4	11
12	я и	1	10
13	своего рода	1	10
14	не в	7	10
15	такого рода	2	10
16	то же	2	9
17	так и	7	9
18	в то	4	9
19	того что	3	9
20	в этой	10	8
21	том что	17	8
22	не может	5	8
23	к себе	1	8
24	как бы	6	8
25	в своей	22	7
26	тем самым	1	7
27	же время	1	7
28	только в	9	7
29	со стороны	1	7
30	точки зрения	10	7
31	я в	1	7
32	еще не	3	6
33	с его	1	6
34	в себе	4	6
35	состоит в	1	6
36	в другом	3	6
37	по мысли	2	6
38	в стихотворении	14	6
39	о том	12	6
40	и его	6	6
41	в его	12	6
42	с другой	6	6
43	к тому	2	6
44	в году	5	5
45	как в	2	5
46	тому же	1	5
47	то есть	21	5
48	это не	2	5
49	как и	7	5
50	что я	1	5
51	этом отношении	1	5
52	в ее	3	5
53	что он	7	5
54	в качестве	4	5
55	в поэзии	1	5
56	именно в	3	5
57	а именно	12	5
58	вместе с	7	5
59	а в	6	5
60	но не	7	4
61	по отношению	2	4
62	хотя и	8	4
63	и если	1	4
64	входит в	1	4
65	однако в	3	4
66	даже в	1	4
67	не говоря	1	4
68	никогда не	7	4
69	говоря уже	1	4
70	данном случае	2	4
71	а также	3	4
72	с одной	3	4
73	в начале	3	4
74	из них	2	4
75	одно из	1	4
76	в одном	3	4
77	как будто	3	4
78	как у	1	4
79	в природе	1	4
80	до конца	1	4
81	одной стороны	3	4
82	в данном	2	4
83	по существу	2	4
84	и для	6	4
85	жизни в	4	4
86	отношению к	2	4
87	отношения к	1	3
88	самом деле	2	3
89	свое место	1	3
90	для которого	1	3
91	едва ли	4	3
92	с ее	1	3
93	но уже	2	3
94	отнюдь не	4	3
95	однако не	1	3
96	и как	6	3
97	и наконец	1	3
98	и к	4	3
99	но в	9	3
100	то в	1	3
101	бы и	1	3
102	на его	2	3
103	и тем	3	3
104	в г	1	3
105	с точки	8	3
106	только для	2	3
107	по своей	2	3
108	потому что	13	3
109	в области	2	3
110	уже о	1	3
111	все еще	4	3
112	еще в	5	3
113	поэта с	1	3
114	искусства и	1	3
115	прежде всего	6	3
116	между тем	2	3
117	вслед за	2	3
118	все время	3	3
119	уже не	6	3
120	человеческого духа	2	3
121	в самом	5	3
122	и жизни	1	3
123	о чем	1	3
124	мира в	3	3
125	и а	1	3
126	как это	1	3
127	там где	1	3
128	я с	1	3
129	в романе	1	3
130	жизни и	2	3
131	а я	1	3
132	том числе	2	3
133	того же	4	2
134	субъект и	1	2
135	поэзии и	1	2
136	как мы	2	2
137	вопрос о	1	2
138	так чтобы	1	2
139	не вполне	1	2
140	на себя	1	2
141	я не	2	2
142	жизни как	1	2
143	мы и	2	2
144	и на	6	2
145	время в	1	2
146	бы то	2	2
147	искусство в	1	2
148	отношение к	2	2
149	и вовсе	1	2
150	все же	9	2
151	когда он	2	2
152	могли бы	1	2
153	себе на	1	2
154	в противоположность	3	2
155	все мое	1	2
156	так или	1	2
157	он в	3	2
158	большей части	1	2
159	право на	1	2
160	раз в	2	2
161	на то	2	2
162	в нем	6	2
163	он все	2	2
164	в первой	2	2
165	не как	1	2
166	и вот	1	2
167	том чтобы	1	2
168	художественное творчество	5	2
169	в работе	1	2
170	то ни	2	2
171	и с	5	2
172	а по	1	2
173	его в	6	2
174	знает что	3	2
175	было бы	4	2
176	и даже	14	2
177	той или	1	2
178	далеко не	4	2
179	не всегда	3	2
180	он и	5	2
181	несмотря на	6	2
182	и тогда	2	2
183	со всей	2	2
