N	4gram	Bakhtin_Pr_1	Myshleni
1	в то время как	1	4
2	так же как и	1	4
3	заключается в том что	1	4
4	друг с другом в	1	2
5	дело в том что	1	1
6	существу с точки зрения	1	1
7	и заключается в том	1	1
8	и в то же	3	1
9	заключается в том чтобы	1	1
10	с этой точки зрения	1	1
11	в то же время	7	1
12	по существу с точки	1	1
13	в том что он	4	1
14	до самого последнего времени	1	1
15	она не может быть	1	1
16	лежит в самой основе	1	1
17	и в этом отношении	2	1
18	не могли войти в	1	1
19	но для того чтобы	1	1
20	то же время не	2	1
