N	4gram	Tiupa_Hudo_1	VerxiiNi
1	в том числе и	1	4
2	с этой точки зрения	1	2
3	бы то ни было	1	2
4	в то же время	5	2
5	точно так же как	1	2
6	и те и другие	1	2
7	мы имеем в виду	3	1
8	одного и того же	2	1
9	в слове о полку	2	1
10	а с другой стороны	1	1
11	в одном и том	1	1
12	еще и потому что	1	1
13	в том или ином	1	1
14	неизбежно заключает в себе	1	1
15	в области духовной культуры	1	1
16	состоит в том что	4	1
17	одном и том же	1	1
18	слове о полку игореве	2	1
19	ни к чему не	1	1
20	и в то же	1	1
