N	2gram	Berdyaev_V_1	Russkaja
1	и не	20	19
2	в том	3	17
3	в этом	4	17
4	и в	16	14
5	то что	9	13
6	то же	1	11
7	но и	5	10
8	не только	2	9
9	том что	2	9
10	может быть	1	9
11	церкви и	1	9
12	во всяком	2	9
13	того чтобы	2	8
14	прежде всего	2	8
15	и если	1	7
16	к богу	8	7
17	и с	1	7
18	к тому	3	7
19	не будет	2	7
20	самого себя	2	7
21	если в	1	6
22	в своем	1	6
23	с тем	2	6
24	в своих	1	6
25	все это	5	6
26	и для	3	6
27	для того	1	6
28	что он	4	6
29	для него	2	6
30	а между	2	5
31	вопрос о	1	5
32	и на	1	5
33	во имя	32	5
34	во всех	3	5
35	в нем	4	5
36	в своей	3	5
37	никогда не	3	5
38	потому что	4	5
39	последние дни	1	5
40	между тем	2	5
41	а потому	1	5
42	только в	2	5
43	хотя бы	3	5
44	конечно не	2	5
45	себя и	1	5
46	а в	2	5
47	жизни в	1	5
48	и то	2	4
49	бы то	1	4
50	но не	2	4
51	себе и	1	4
52	все же	1	4
53	не в	3	4
54	в этой	1	4
55	на земле	7	4
56	то ни	1	4
57	как и	4	4
58	в их	1	4
59	во всем	1	4
60	не могут	2	4
61	в мире	5	4
62	можно было	2	4
63	в его	4	4
64	так как	9	4
65	лишь к	1	4
66	вместе с	1	4
67	как бы	5	4
68	отказаться от	1	4
69	жизни и	3	4
70	что в	3	4
71	все что	4	4
72	и т	2	3
73	говорить о	4	3
74	в будущем	1	3
75	еще не	8	3
76	что они	7	3
77	во что	1	3
78	в самом	1	3
79	что это	1	3
80	на том	2	3
81	и по	1	3
82	лишь в	3	3
83	для них	2	3
84	должно быть	3	3
85	таким же	1	3
86	можно ли	1	3
87	одна из	2	3
88	мира от	4	3
89	в сознании	1	3
90	то это	3	3
91	что оно	1	3
92	что все	4	3
93	ни стало	1	3
94	но мы	2	3
95	и во	2	3
96	по духу	1	3
97	что и	3	3
98	что бы	1	3
99	того что	5	3
100	тем чтобы	1	3
101	в виде	1	3
102	в конце	3	3
103	себя от	1	3
104	тем что	2	3
105	не было	3	3
106	ко всем	1	3
107	и потому	7	3
108	да и	2	3
109	и будут	2	3
110	конце концов	1	3
111	не есть	6	3
112	от этой	1	2
113	речь идет	1	2
114	и есть	4	2
115	от своей	2	2
116	должна быть	3	2
117	к чему	3	2
118	но она	1	2
119	на себя	5	2
120	в ней	4	2
121	они будут	4	2
122	тогда как	1	2
123	не просто	1	2
124	но в	3	2
125	все эти	3	2
126	раз навсегда	2	2
127	не к	2	2
128	и вот	1	2
129	так часто	1	2
130	в глазах	1	2
131	и тем	1	2
132	и тогда	2	2
133	в этих	3	2
134	в котором	4	2
135	их в	3	2
136	любовь к	3	2
137	тому что	3	2
138	она не	1	2
139	для нас	2	2
140	у него	1	2
141	людей и	2	2
142	для себя	1	2
143	во главе	2	2
144	если они	1	2
145	за то	3	2
146	это только	1	2
147	и что	3	2
148	любви к	1	2
149	от него	2	2
150	к нему	1	2
151	это в	1	2
152	сделать это	1	2
153	бы ни	1	2
154	их не	1	2
155	по этому	3	2
156	уже не	2	2
157	его и	2	2
158	не так	2	2
159	ни в	3	2
160	и вместе	1	2
161	а с	2	2
162	не нужна	3	2
163	а не	7	2
164	так же	1	2
165	всех людей	3	2
166	их к	1	2
167	единственный путь	1	2
168	есть и	1	2
169	но это	3	2
170	общественной жизни	1	2
171	если не	3	2
172	и от	1	2
173	в результате	1	2
174	с ним	2	2
175	ее в	2	2
176	упорно и	1	1
177	свое место	1	1
178	этому пути	2	1
179	со своей	1	1
180	и за	2	1
181	их и	1	1
182	есть не	1	1
183	людей от	1	1
184	от всякой	1	1
185	мы не	2	1
186	не была	1	1
187	он был	1	1
188	не был	1	1
189	с родным	1	1
190	у таких	1	1
191	ее к	1	1
192	к этому	1	1
193	отказ от	1	1
194	но как	1	1
195	абсолютное значение	1	1
196	которые не	2	1
197	в истории	8	1
198	воплощение в	1	1
199	что во	3	1
200	которой они	2	1
201	по пути	5	1
202	на отрицании	1	1
203	от этого	3	1
204	не быть	1	1
205	в смысл	2	1
206	в которой	1	1
207	сущности и	1	1
208	то и	1	1
209	им в	1	1
210	авторитетом и	2	1
211	социализм в	1	1
