N	2gram	Bakhtin_fo_1	IolandNe
1	и с	4	3
2	должен быть	1	2
3	и не	14	2
4	в этом	25	2
5	он не	5	2
6	что в	5	2
7	самого себя	1	2
8	ничего не	9	2
9	себя в	1	1
10	все это	4	1
11	автора и	2	1
12	этим и	1	1
13	и др	9	1
14	и тот	1	1
15	и в	50	1
16	у всех	1	1
17	в эту	1	1
18	я не	1	1
19	то и	1	1
20	них не	1	1
21	бы в	1	1
22	как только	1	1
23	того же	8	1
24	значительной мере	1	1
25	и со	1	1
26	с другой	2	1
27	это было	1	1
28	человеке и	1	1
29	а в	3	1
30	вплоть до	1	1
31	того что	2	1
32	о жизни	1	1
33	стороны он	1	1
34	это был	1	1
35	как о	1	1
36	и еще	2	1
37	нее и	1	1
38	для него	2	1
39	а также	2	1
40	нам в	1	1
41	в основе	5	1
42	в значительной	2	1
43	могло бы	1	1
44	и сам	1	1
45	есть только	2	1
46	отношению к	5	1
47	так и	12	1
48	бы его	1	1
49	от этого	2	1
50	произведения и	1	1
51	того чтобы	5	1
52	братья карамазовы	1	1
53	во многом	2	1
54	никогда не	2	1
55	к отцу	1	1
56	жизни и	8	1
57	и очень	1	1
58	и ничего	1	1
59	тех же	2	1
60	для других	4	1
61	тем что	2	1
62	в целом	2	1
63	по отношению	3	1
64	в них	4	1
65	все эти	9	1
66	но когда	1	1
67	по существу	12	1
68	что роман	1	1
69	со всеми	3	1
70	если бы	5	1
71	для того	5	1
