N	2gram	Bakhtin_Fr_5	TeoriaLi
1	в мире	1	24
2	не только	14	18
3	в качестве	2	17
4	и не	15	16
5	а в	4	14
6	и в	45	13
7	в частности	1	13
8	то есть	25	12
9	так и	6	12
10	может быть	2	12
11	в этом	14	11
12	при этом	2	11
13	в том	10	11
14	но не	4	10
15	и его	13	10
16	а не	4	10
17	то же	11	9
18	в его	13	9
19	по отношению	1	8
20	своего рода	4	8
21	в душе	1	8
22	но и	10	8
23	отношению к	1	8
24	что в	12	8
25	отличие от	2	7
26	в себе	1	7
27	том что	7	7
28	точки зрения	4	7
29	в отличие	2	7
30	в то	11	7
31	во второй	2	7
32	только в	4	7
33	себя в	1	7
34	как это	4	7
35	в данном	2	7
36	еще не	1	6
37	с его	7	6
38	но в	14	6
39	в первой	4	6
40	лишь в	2	6
41	же время	9	6
42	как бы	12	6
43	данном случае	2	5
44	в рамках	1	5
45	в своем	11	5
46	в самом	4	5
47	он не	6	5
48	как и	10	5
49	не в	7	5
50	в нем	10	5
51	в пределах	2	5
52	или иной	1	5
53	а также	4	5
54	между тем	2	5
55	и одновременно	3	5
56	не случайно	1	5
57	как в	3	5
58	между ними	1	5
59	говорить о	2	4
60	конечном счете	1	4
61	хотя и	5	4
62	то что	2	4
63	ни в	3	4
64	в ходе	1	4
65	в своей	3	4
66	в их	4	4
67	не столько	2	4
68	не менее	3	4
69	приводит к	1	4
70	можно сказать	2	4
71	в конечном	1	4
72	в форме	1	4
73	и ее	1	4
74	но он	3	4
75	и т.п	16	4
76	мира и	8	4
77	в свою	1	4
78	не знает	1	4
79	сказать что	4	4
80	не может	5	4
81	например в	5	3
82	в сторону	2	3
83	не все	1	3
84	и т.д	2	3
85	в акте	5	3
86	перед нами	4	3
87	и к	5	3
88	все эти	5	3
89	в этой	6	3
90	он должен	2	3
91	и вот	3	3
92	и по	1	3
93	самим собой	1	3
94	его в	5	3
95	и сам	1	3
96	тем не	1	3
97	в отношении	2	3
98	никогда не	1	3
99	как раз	5	3
100	потому что	7	3
101	в эпизоде	9	3
102	той или	1	3
103	свою очередь	1	3
104	в произведении	1	3
105	так в	2	3
106	в другом	3	3
107	и что	2	3
108	того что	3	3
109	во времени	2	3
110	человека с	5	3
111	для него	3	3
112	с ее	5	3
113	именно в	3	3
114	и др	8	3
115	нового времени	1	3
116	прежде всего	10	3
117	и потому	1	3
118	по своему	4	3
119	этого слова	1	3
120	мира в	1	3
121	к которому	1	3
122	таким образом	8	3
123	в основе	4	3
124	миропорядка и	1	3
125	речи и	1	3
126	того же	3	2
127	и это	4	2
128	это и	5	2
129	в присутствии	1	2
130	и больше	2	2
131	собою в	1	2
132	но она	3	2
133	принадлежит к	1	2
134	в целом	2	2
135	в чем	2	2
136	и мира	1	2
137	могло быть	1	2
138	но как	1	2
139	у него	4	2
140	свою жизнь	1	2
141	за пределы	1	2
142	что они	1	2
143	и как	5	2
144	это тоже	1	2
145	самом начале	1	2
146	право на	10	2
147	свободы но	1	2
148	но на	3	2
149	в году	3	2
150	об этом	4	2
151	дома и	1	2
152	это не	3	2
153	вовсе не	8	2
154	и того	1	2
155	и некоторые	1	2
156	одного и	1	2
