N	3gram	Losev_Vlad_3	RusskieA
1	в том что	10	15
2	том что в	3	6
3	вместе с тем	6	6
4	в этом случае	1	5
5	в связи с	2	4
6	о том что	8	4
7	к тому что	2	4
8	в настоящее время	3	3
9	с точки зрения	6	3
10	мы не можем	1	3
11	тем не менее	9	3
12	что иное как	1	2
13	что в этом	2	2
14	мы не будем	1	2
15	может быть и	1	2
16	в это время	2	2
17	и потому что	2	2
18	все же не	1	2
19	не только на	1	2
20	по этому поводу	1	2
21	не что иное	1	2
22	потому что он	1	1
23	а следовательно и	1	1
24	в нашем сознании	1	1
25	сказать что в	1	1
26	по этому вопросу	1	1
27	на себя внимание	2	1
28	иметь в виду	2	1
29	в виду что	1	1
30	в противном случае	1	1
31	точно так же	4	1
32	так как в	1	1
33	там же с	6	1
34	же как и	1	1
35	том что это	1	1
36	и не только	1	1
37	в таком случае	2	1
38	и в дальнейшем	1	1
39	на самом же	2	1
40	в себе и	2	1
41	в этом отношении	2	1
42	независимо от того	2	1
43	значит что все	1	1
44	можно было бы	1	1
45	вот что пишет	1	1
46	можно думать что	1	1
47	и в своем	1	1
48	обращает на себя	2	1
49	и с ней	1	1
50	у него нет	1	1
51	ни в одном	1	1
52	не только в	1	1
53	еще и в	2	1
54	и в нашем	1	1
55	имеет ничего общего	2	1
56	как будто бы	1	1
57	в отличие от	3	1
58	и в этом	5	1
59	значении этого слова	1	1
60	но вместе с	1	1
61	кроме того в	1	1
62	во всяком случае	3	1
63	в одно целое	1	1
64	ii таким образом	1	1
65	так же как	2	1
66	с м соловьев	1	1
67	и в том	2	1
68	самом же деле	2	1
69	есть вместе с	1	1
70	не имеет ничего	2	1
71	бросается в глаза	2	1
72	такая точка зрения	1	1
73	мы уже знаем	1	1
74	такой взгляд на	1	1
75	в то время	4	1
76	ничего общего с	2	1
77	с тем что	1	1
78	что подобного рода	1	1
79	вопрос о том	1	1
80	у греков и	1	1
81	несмотря на все	1	1
82	на то что	2	1
83	эту точку зрения	1	1
84	мы видим что	1	1
85	быть и не	1	1
86	потому что они	1	1
87	что и в	3	1
88	как мы знаем	2	1
89	его по существу	1	1
90	в данном случае	2	1
91	как мы видели	3	1
