N	2gram	Trubetskoy_1	VeschiIm
1	не есть	3	49
2	не может	22	33
3	не только	9	31
4	может быть	9	29
5	это –	1	29
6	и не	19	28
7	и в	14	26
8	то что	13	24
9	и есть	2	23
10	и т	3	21
11	а не	2	20
12	не просто	2	18
13	есть только	1	17
14	только в	5	14
15	по себе	2	13
16	и что	2	13
17	того что	3	13
18	и то	4	12
19	есть не	1	12
20	все же	4	12
21	в себя	1	12
22	что это	3	12
23	было бы	5	12
24	но и	10	12
25	таким образом	11	11
26	с нею	3	11
27	что же	4	11
28	то же	11	10
29	в ней	2	10
30	как бы	4	10
31	что такое	2	10
32	потому что	5	10
33	уже не	2	10
34	бы то	4	9
35	в самом	3	9
36	то ни	4	9
37	и с	7	9
38	в том	17	9
39	что не	1	9
40	еще и	1	9
41	прежде всего	8	9
42	ни было	1	9
43	с ее	1	8
44	иное как	1	8
45	сущности и	1	8
46	в себе	9	8
47	на то	5	8
48	и это	1	8
49	себя и	5	8
50	но это	2	8
51	также и	1	7
52	говорить о	3	7
53	в этом	17	7
54	не будет	7	7
55	его в	4	7
56	с другими	1	7
57	том что	9	7
58	в то	10	7
59	ли это	4	7
60	что оно	3	7
61	указывает на	2	7
62	в свете	1	7
63	себя в	4	7
64	и их	1	7
65	так как	4	7
66	– не	2	7
67	совершенно не	2	7
68	есть и	2	7
69	со стороны	4	6
70	что они	3	6
71	и как	3	6
72	но в	2	6
73	это есть	2	6
74	точки зрения	11	6
75	но если	3	6
76	по крайней	1	6
77	необходимо чтобы	1	6
78	с ним	2	6
79	ее не	1	6
80	она не	2	6
81	оно есть	1	6
82	отличается от	2	6
83	можно было	4	6
84	ясно что	2	6
85	должно быть	3	6
86	и только	5	6
87	крайней мере	1	6
88	а если	1	6
89	так что	2	6
90	если мы	1	6
91	для него	6	6
92	в результате	2	6
93	жизни и	4	6
94	что в	4	6
95	того же	1	5
96	это и	1	5
97	в сущности	1	5
98	на себя	2	5
99	но не	4	5
100	отнюдь не	7	5
101	должна быть	2	5
102	же это	1	5
103	вообще не	1	5
104	это не	1	5
105	с тем	6	5
106	не в	4	5
107	тем не	1	5
