N	3gram	Propp_Russ_1	Hudozhes
1	в том что	15	11
2	о том что	4	7
3	по отношению к	1	7
4	подобно тому как	1	4
5	к тому что	4	4
6	том что в	6	3
7	как и в	1	3
8	тем не менее	3	3
9	так же как	1	2
10	дело не только	1	2
11	и в этом	1	2
12	но тем не	2	2
13	и т п	1	2
14	тогда как в	1	2
15	состоит в том	8	2
16	можно было бы	1	2
17	не только в	1	2
18	как будто бы	1	2
19	и т д	9	2
20	на другой день	1	2
21	с точки зрения	3	2
22	в данном случае	1	2
23	не только для	1	1
24	же состоит в	1	1
25	в таком случае	1	1
26	можно судить по	1	1
27	в одном из	1	1
28	приводит к тому	1	1
29	точно так же	1	1
30	с этого момента	2	1
31	в это время	2	1
32	и в том	1	1
33	можно сказать что	1	1
34	что не только	1	1
35	в г было	1	1
36	что и в	1	1
37	встречаются и в	1	1
38	только о том	1	1
39	и в других	4	1
40	же как и	1	1
41	на могилах и	1	1
42	в то время	1	1
43	сказывается и в	1	1
44	по дороге на	1	1
45	в этой роли	1	1
46	а иногда и	3	1
47	как мы знаем	1	1
48	в настоящее время	3	1
49	в этом случае	5	1
50	в этом отношении	1	1
51	о том же	1	1
52	после того как	2	1
53	но все же	2	1
54	все же не	2	1
55	и не случайно	1	1
56	о том чтобы	1	1
57	и состоит в	1	1
58	эта как мы	1	1
59	как это часто	1	1
60	в xix в	10	1
61	в своего рода	1	1
