N	3gram	Bakhtin_Pr_1	EvropaiC
1	в том что	6	16
2	до сих пор	2	12
3	по отношению к	8	10
4	друг с другом	1	9
5	с точки зрения	13	8
6	на самом деле	4	7
7	более или менее	1	7
8	для того чтобы	1	6
9	в самом деле	2	5
10	по сравнению с	1	5
11	о том что	1	4
12	в конце концов	5	4
13	с другой стороны	3	4
14	может быть и	1	4
15	в этом случае	1	4
16	не может быть	4	4
17	заключается в том	1	3
18	так же как	1	3
19	в настоящее время	1	3
20	в целом ряде	2	3
21	таким образом в	1	3
22	все же не	2	3
23	в данном случае	2	3
24	в то же	9	2
25	бы то ни	2	2
26	именно потому что	2	2
27	он все же	1	2
28	то ни было	1	2
29	совершенно иной чем	1	2
30	что же касается	1	2
31	друг к другу	1	2
32	но все же	2	2
33	он не может	1	2
34	не может служить	1	2
35	только то что	2	2
36	то же время	9	2
37	в том и	1	2
38	во всяком случае	3	2
39	в свою очередь	1	2
40	том что он	4	2
41	это не так	1	1
42	так и к	1	1
43	а в том	1	1
44	в высшей степени	1	1
45	не тем что	1	1
46	с самого начала	1	1
47	деле это не	1	1
48	между тем как	4	1
49	на свои составные	1	1
50	точно так же	1	1
51	но даже в	1	1
52	все же остается	1	1
53	мы уже говорили	1	1
54	в один из	1	1
55	теснейшей связи с	1	1
56	а следовательно и	1	1
57	эти отрицательные стороны	1	1
58	а потому и	1	1
59	но именно в	1	1
60	может быть изображена	1	1
61	не только не	1	1
62	не в том	1	1
63	и в нем	1	1
64	том и другом	1	1
65	таким образом и	1	1
66	теперь мы должны	1	1
67	у каждого своя	1	1
68	дело в том	1	1
69	может показаться что	1	1
70	что все эти	1	1
71	к тому что	1	1
72	но с другой	2	1
73	они вовсе не	1	1
74	ни одна из	1	1
75	независимо от того	1	1
76	то же самое	1	1
77	и не может	2	1
78	то что для	1	1
79	или лучше сказать	1	1
80	и в целом	2	1
81	что он сам	1	1
82	их взаимоотношения в	1	1
83	между собою в	1	1
84	а так как	1	1
85	за ним и	1	1
86	как разные этапы	1	1
87	целом ряде других	2	1
88	как мы видели	1	1
89	у него в	1	1
90	а рядом с	1	1
91	в зависимости от	5	1
92	в его сознании	1	1
93	в лучшем случае	2	1
94	та или иная	1	1
95	все то что	3	1
96	как бы он	1	1
97	были бы в	1	1
98	в теснейшей связи	1	1
99	мы уже указали	1	1
100	как бы ни	1	1
101	в себе и	1	1
102	и это не	3	1
103	то время как	1	1
104	они не могут	1	1
105	на первый взгляд	1	1
106	именно в том	1	1
107	таким образом все	2	1
108	не отличается от	1	1
109	хотя и не	1	1
110	что они не	1	1
111	по крайней мере	1	1
112	в то время	1	1
