N	2gram	Voloshinov_1	Myshleni
1	точки зрения	1	28
2	и в	3	26
3	не только	1	24
4	с точки	1	21
5	и не	1	18
6	но и	1	11
7	не может	4	11
8	тому что	1	9
9	то же	1	8
10	к тому	1	7
11	может быть	1	7
12	а не	1	6
13	во второй	1	5
14	если бы	1	5
15	речь и	1	5
16	бы в	1	5
17	если в	2	4
18	не менее	1	4
19	связи с	1	4
20	в его	1	4
21	в ней	1	3
22	нет и	1	3
23	из этих	1	3
24	с другими	1	3
25	для него	1	3
26	мы видим	1	3
27	в то	1	3
28	его от	1	2
29	несмотря на	1	2
30	и больше	1	2
31	деятельности в	1	2
32	ситуации и	1	2
33	один из	2	2
34	себя от	1	2
35	по своим	1	2
36	может и	1	2
37	при анализе	1	1
38	от связи	1	1
39	в центре	2	1
40	на месте	1	1
41	вещей и	1	1
42	с теми	1	1
43	и должно	1	1
44	в анализе	1	1
45	в лингвистике	1	1
46	лежащие в	1	1
47	языка как	1	1
48	в выборе	1	1
49	от общей	1	1
50	исходя из	1	1
51	истории но	1	1
52	и все	1	1
53	это направление	1	1
