N	2gram	Voloshinov_1	EvropaiC
1	таким образом	12	32
2	в том	6	31
3	и в	12	24
4	том что	5	20
5	все эти	3	19
6	не может	16	18
7	то что	5	17
8	может быть	14	15
9	все же	4	15
10	точки зрения	14	13
11	самом деле	3	12
12	в своем	2	12
13	до сих	3	12
14	в этом	4	12
15	сих пор	3	12
16	между тем	3	11
17	все это	3	11
18	во всех	1	10
19	по отношению	11	10
20	так и	4	10
21	как бы	13	10
22	отношению к	11	10
23	культуры в	1	10
24	при этом	6	9
25	как и	5	9
26	в результате	1	9
27	что в	2	9
28	в самом	4	8
29	с точки	2	8
30	не в	4	8
31	идет речь	1	8
32	ясно что	3	8
33	если бы	9	8
34	так же	3	8
35	и все	2	8
36	а между	1	7
37	на самом	4	7
38	или менее	1	7
39	не менее	3	7
40	в психике	2	7
41	того чтобы	1	7
42	по своей	1	7
43	к тому	1	7
44	для этого	1	7
45	о том	3	7
46	и что	2	7
47	но и	3	7
48	и не	10	7
49	более или	1	7
50	из этого	3	7
51	должна быть	5	6
52	еще не	3	6
53	и на	4	6
54	в общем	1	6
55	несмотря на	1	6
56	с ним	3	6
57	что и	2	6
58	того что	3	6
59	только в	6	6
60	все они	2	6
61	так как	9	6
62	мы можем	2	6
63	с другой	4	6
64	вместе с	2	6
65	как на	2	6
66	столь же	1	5
67	как к	3	5
68	и к	4	5
69	но в	5	5
70	что это	1	5
71	в целом	1	5
72	в себе	3	5
73	тому же	2	5
74	не только	4	5
75	но все	2	5
76	что все	1	5
77	и с	3	5
78	на все	2	5
79	его в	4	5
80	и без	1	5
81	в то	2	5
82	как будто	1	5
83	в его	2	5
84	и их	1	5
85	у него	1	5
86	именно в	1	5
87	далеко не	1	5
88	другой стороны	2	5
89	быть и	3	5
90	и для	3	5
91	к этому	2	5
92	в такой	3	4
93	и то	2	4
94	то же	5	4
95	мы уже	1	4
96	та же	1	4
97	между собой	2	4
98	отношение к	4	4
99	хотя и	1	4
100	он не	2	4
101	должно быть	1	4
