N	4gram	Losev_Vlad_3	Dialekti
1	одно и то же	1	4
2	не что иное как	1	3
3	в то время как	2	3
4	в то же время	2	3
5	иметь в виду что	1	2
6	в том что он	1	1
7	да и то не	1	1
8	с одной стороны и	2	1
9	что бы то ни	2	1
10	и то и другое	1	1
11	на самом же деле	2	1
12	и в то же	2	1
13	мы уже знаем что	1	1
14	и вместе с тем	2	1
15	мы уже не говорим	1	1
16	ни в каком смысле	1	1
17	не содержит в себе	1	1
18	во что бы то	2	1
19	так же как и	1	1
20	заключается в том что	1	1
21	в том смысле как	1	1
22	то это значит что	4	1
23	в каком смысле не	1	1
24	бы то ни стало	2	1
