N	2gram	Trubetskoy_1	Problema
1	то есть	1	39
2	то что	13	38
3	вовсе не	1	37
4	и не	19	37
5	и в	14	35
6	не есть	3	33
7	не только	9	24
8	том что	9	19
9	что такое	2	18
10	даже и	2	18
11	о том	7	18
12	может быть	9	18
13	в этом	17	17
14	настоящее время	2	16
15	но и	10	16
16	в настоящее	2	16
17	только в	5	14
18	не менее	1	13
19	потому что	5	13
20	не может	22	13
21	и что	2	13
22	во всяком	9	13
23	также и	1	12
24	тем не	1	12
25	того что	3	12
26	в том	17	12
27	хотя бы	5	12
28	не просто	2	11
29	не будет	7	11
30	никак не	1	11
31	и даже	2	11
32	так что	2	11
33	прежде всего	8	11
34	что в	4	11
35	в таком	2	11
36	и то	4	10
37	говорить о	3	10
38	еще не	3	10
39	всяком случае	6	10
40	и с	7	10
41	а не	2	10
42	в данном	7	10
43	да и	3	10
44	тем более	1	10
45	в этой	4	9
46	для себя	2	9
47	если мы	1	9
48	только на	2	9
49	что же	4	9
50	для нас	2	9
51	значение и	1	8
52	все же	4	8
53	по себе	2	8
54	есть только	1	8
55	ясно что	2	8
56	было бы	5	8
57	уже не	2	8
58	все эти	2	7
59	того или	2	7
60	те или	1	7
61	мы не	1	7
62	тем самым	2	7
63	не является	1	7
64	в конце	3	7
65	так и	1	7
66	казалось бы	1	7
67	в его	4	7
68	конце концов	3	7
69	так как	4	7
70	этом случае	3	7
71	и т	3	6
72	есть не	1	6
73	с другой	1	6
74	но как	1	6
75	а только	1	6
76	но в	2	6
77	на то	5	6
78	что все	3	6
79	по крайней	1	6
80	можно ли	3	6
81	мы можем	2	6
82	не о	2	6
83	как будто	2	6
84	крайней мере	1	6
85	же самое	1	6
86	можно сказать	1	6
87	в виде	3	6
88	ни в	2	6
89	в области	2	6
90	но это	2	6
91	при условии	3	6
92	и для	6	6
93	в то	10	6
94	то же	11	5
95	между собой	5	5
96	по своему	1	5
97	отнюдь не	7	5
98	с этим	2	5
99	в самом	3	5
100	в себе	9	5
101	с другими	1	5
102	как и	4	5
103	и без	1	5
104	представление о	1	5
105	и более	2	5
106	это то	1	5
107	связи с	3	5
108	той или	3	5
109	указывает на	2	5
110	и это	1	5
111	как мы	1	5
112	данном случае	3	5
113	языка и	1	5
114	можно было	4	5
115	и на	5	5
116	тот или	1	5
117	же это	1	5
118	или иной	5	5
119	еще и	1	5
120	что не	1	5
121	в частности	2	5
122	так же	2	5
123	в связи	1	5
124	и все	1	5
125	или иного	2	5
126	есть то	1	5
127	самом деле	7	4
128	на самом	6	4
129	и есть	2	4
130	не был	1	4
131	было говорить	1	4
132	но не	4	4
133	в общем	1	4
134	сама по	2	4
135	в своем	6	4
136	и как	3	4
137	более или	4	4
138	вообще не	1	4
139	всех этих	3	4
140	их в	2	4
141	таким образом	11	4
142	заключается в	1	4
143	и тем	2	4
144	которой он	4	4
145	на первый	1	4
146	или менее	4	4
147	в этих	2	4
148	но если	3	4
149	собой и	3	4
150	для каждого	1	4
151	или другие	1	4
152	до сих	5	4
153	но только	1	4
154	что на	1	4
155	стороны и	1	4
156	не могут	4	4
157	что при	1	4
158	и о	2	4
159	без всякого	1	4
160	о самой	1	4
161	если бы	6	4
162	и только	5	4
163	тоже является	1	4
164	что он	6	4
165	не можем	2	4
166	то и	1	4
167	представить себе	2	4
168	случае не	1	4
169	нами не	1	4
170	как же	1	4
171	тем что	3	4
172	если не	2	4
173	в область	1	4
174	как бы	4	4
175	сих пор	5	4
176	все это	6	4
177	в результате	2	4
178	а в	5	4
179	это и	1	3
180	и этот	3	3
181	в их	4	3
182	мы уже	2	3
183	вопрос о	5	3
184	такое положение	1	3
185	это отношение	1	3
186	но даже	2	3
187	то это	3	3
188	только тогда	1	3
189	нет и	1	3
190	что они	3	3
191	в истории	1	3
192	нельзя было	1	3
193	не было	3	3
194	не являются	1	3
195	и к	6	3
196	только то	1	3
197	бы не	1	3
198	из этих	3	3
199	но ведь	1	3
200	и тот	2	3
201	только один	1	3
202	при этом	5	3
203	по самому	2	3
204	и по	3	3
205	здесь мы	1	3
206	то ни	4	3
207	лишь в	3	3
208	его в	4	3
