N	2gram	Berdyaev_O_1	StatiiOP
1	и в	19	29
2	том что	2	27
3	в том	5	27
4	в этом	12	21
5	не только	11	19
6	но и	13	19
7	что в	4	19
8	о том	3	17
9	в его	7	13
10	что он	3	13
11	в которой	2	11
12	то что	5	11
13	все это	6	11
14	т е	4	10
15	в своем	2	9
16	он не	7	9
17	потому что	9	9
18	так и	2	9
19	этом отношении	1	9
20	и не	13	9
21	но в	2	8
22	и пр	1	8
23	в ней	1	7
24	в самом	5	7
25	в своей	2	7
26	в котором	1	7
27	того как	1	7
28	для того	3	7
29	в виду	1	7
30	с тем	2	7
31	вопрос о	10	6
32	и на	2	6
33	все же	2	6
34	вовсе не	1	6
35	того чтобы	4	6
36	и его	4	6
37	и что	1	6
38	в одном	1	6
39	было бы	3	5
40	в русской	3	5
41	была бы	1	5
42	того что	3	5
43	прежде всего	9	5
44	а не	11	5
45	о чем	1	5
46	как бы	3	5
47	был для	1	4
48	хотя и	2	4
49	и к	2	4
50	в нем	10	4
51	что у	2	4
52	в другом	2	4
53	и с	2	4
54	должен был	2	4
55	не в	11	4
56	дело в	1	4
57	ничего не	2	4
58	и о	2	4
59	после того	1	4
60	для него	5	4
61	действующих лиц	1	4
62	в частности	1	4
63	еще более	1	4
64	к этому	2	4
65	например в	1	3
66	самом деле	1	3
67	на самом	1	3
68	его не	2	3
69	хотя бы	3	3
70	и он	8	3
71	но не	1	3
72	как в	1	3
73	не было	9	3
74	что это	1	3
75	в россии	5	3
76	из них	1	3
77	в этих	3	3
78	одном из	1	3
79	в поэме	1	3
80	но он	7	3
81	по себе	2	3
82	никогда не	9	3
83	тем что	2	3
84	у нас	1	3
85	ни у	2	3
86	действующие лица	1	3
87	и здесь	1	3
88	как у	1	3
89	но это	1	3
90	вот что	1	3
91	так что	2	3
92	кажется что	1	3
93	всяком случае	1	3
94	связан с	1	3
95	и даже	1	3
96	а с	1	3
97	до конца	7	3
98	отношении к	1	3
99	во всяком	1	3
100	в силе	1	2
101	также и	1	2
102	тем же	1	2
103	с его	4	2
104	что они	2	2
105	на то	1	2
106	и я	1	2
107	в истории	2	2
108	в одной	1	2
109	и как	1	2
110	все эти	4	2
111	в этой	5	2
112	в себе	3	2
113	больше всего	1	2
114	если бы	1	2
115	видел в	1	2
116	и более	1	2
117	его в	2	2
118	это было	3	2
119	истории и	1	2
120	которая была	1	2
121	в это	1	2
122	как и	6	2
123	которую он	2	2
124	в отношении	1	2
125	что было	1	2
126	не могли	2	2
127	нет никакого	1	2
128	не имеет	2	2
129	в процессе	1	2
130	не может	4	2
131	не по	1	2
132	не потому	1	2
133	или лучше	1	2
134	в движении	1	2
135	чтобы сделать	1	2
136	и это	1	2
137	в ее	2	2
138	лучше сказать	1	2
139	и сам	1	2
140	особенно в	1	2
141	он был	8	2
142	другом месте	1	2
143	в которую	1	2
144	что и	2	2
145	отметить что	1	2
146	которой в	1	2
147	как например	1	2
148	и дело	1	2
149	бы ни	1	2
150	ни с	7	2
151	в конце	1	2
152	так как	2	2
153	может быть	11	2
154	в них	1	2
155	со стороны	1	2
156	с той	1	2
157	говорит о	1	2
158	и самый	1	2
159	на этот	1	2
160	его как	1	2
161	было для	2	2
162	связь с	1	2
163	и потому	2	2
164	как это	1	2
165	этих словах	1	2
166	потому ли	1	2
167	ее в	2	2
168	сказать что	2	2
169	совершенно не	1	2
170	ту же	1	1
171	вокруг которого	1	1
172	сам по	1	1
173	с кем	1	1
174	и то	2	1
175	совершенно новый	1	1
176	одной женщине	1	1
177	трагедии и	1	1
178	за все	2	1
179	и до	1	1
180	не имеют	1	1
181	которого сосредоточивается	1	1
182	из всех	1	1
183	им самим	1	1
184	характер его	1	1
185	мы не	1	1
186	их чувств	1	1
187	в сущности	1	1
188	не вполне	1	1
189	их не	2	1
190	критики этого	1	1
191	которые успели	1	1
192	еще не	3	1
193	и отец	1	1
194	он сам	4	1
195	друг к	1	1
196	совсем не	2	1
197	отношение к	5	1
198	себе и	1	1
199	что во	1	1
200	для русской	1	1
201	что как	1	1
202	еще больше	1	1
203	в творчестве	5	1
204	когда он	3	1
205	силе и	1	1
206	не очень	2	1
207	чего же	1	1
208	за собой	1	1
209	к другому	1	1
210	представляет собой	1	1
211	не оставляет	1	1
212	одно время	1	1
213	с их	1	1
214	и кто	1	1
215	только один	1	1
216	говорят о	1	1
217	что она	1	1
218	от которого	1	1
219	к одному	1	1
220	для русского	1	1
221	характере и	1	1
222	установленным что	1	1
223	презрение к	1	1
224	том-то и	1	1
225	и характер	1	1
226	в совершенно	1	1
227	различие между	3	1
228	к другу	1	1
229	заключается в	1	1
230	пути от	1	1
231	ума и	2	1
232	считать установленным	1	1
233	над его	1	1
234	права на	1	1
235	который всегда	1	1
236	темам и	1	1
237	и очень	2	1
238	что есть	2	1
239	можно ли	2	1
240	она не	1	1
241	мысли в	1	1
242	одна из	1	1
243	на два	1	1
244	него была	1	1
245	у кого	2	1
246	тому кто	1	1
247	было не	1	1
248	и без	1	1
249	всего и	2	1
250	и лишь	1	1
251	к ней	2	1
252	вместо того	2	1
253	как будто	1	1
254	ли нам	1	1
255	образ русского	1	1
256	свое собственное	1	1
257	не могут	3	1
258	он и	1	1
259	отличается от	1	1
260	а что	1	1
261	всего что	1	1
262	они и	1	1
263	он никогда	1	1
264	в свое	1	1
265	что все	2	1
266	не могу	1	1
267	характер и	1	1
268	мысль о	2	1
269	не подходит	1	1
270	легенды о	1	1
271	можно было	1	1
272	не так	1	1
273	не с	1	1
274	в борьбе	1	1
275	по сравнению	1	1
276	в эпоху	1	1
277	поэмы не	1	1
278	говорят одним	1	1
279	но к	1	1
280	и ему	1	1
281	с того	1	1
282	в форму	1	1
283	но нет	1	1
284	нуждается в	1	1
285	в форме	1	1
286	чем и	1	1
287	легенде о	3	1
288	у обоих	1	1
289	все время	1	1
290	он попал	1	1
291	в том-то	1	1
292	говорит в	1	1
293	по содержанию	1	1
294	ни к	1	1
295	не совпадает	1	1
296	не случайно	1	1
297	один из	1	1
298	что только	1	1
299	места в	1	1
300	с ними	1	1
301	лишь на	1	1
302	будто бы	1	1
303	и действительно	1	1
304	те которые	2	1
305	который в	1	1
306	которых в	1	1
307	отмечали что	1	1
308	был совершенно	1	1
309	с какой	1	1
310	уже в	2	1
311	а это	1	1
312	одно из	2	1
313	ведь это	2	1
314	это тема	1	1
315	слабы и	1	1
316	у нее	1	1
317	а в	5	1
318	может служить	1	1
319	у него	22	1
320	смысле слова	1	1
321	в каждом	1	1
322	вчитывался в	1	1
323	ни под	1	1
324	свою мысль	1	1
325	частью в	2	1
326	качества и	1	1
327	что человек	3	1
328	что для	2	1
329	месте и	1	1
330	нужно искать	5	1
331	попал в	1	1
332	судьба его	1	1
333	и тут	1	1
