N	3gram	Medvedev_U_1	Istorich
1	с другой стороны	3	7
2	в этом случае	1	5
3	до сих пор	2	5
4	в том что	2	5
5	в данном случае	1	3
6	с одной стороны	1	2
7	и то что	2	2
8	мы имеем в	1	2
9	уже знакомый нам	1	1
10	и в различных	1	1
11	есть ли для	1	1
12	но прежде всего	1	1
13	ли для этого	1	1
14	с тем что	1	1
15	нас до сих	1	1
16	они находятся в	1	1
17	то что было	1	1
18	имеются не только	1	1
19	не только в	1	1
20	так или иначе	1	1
21	дело конечно не	1	1
22	все же не	1	1
23	и прежде всего	1	1
24	равно как и	1	1
25	не может быть	4	1
26	можно сказать что	1	1
27	у нас в	1	1
28	на то что	1	1
29	друг с другом	1	1
30	в буквальном смысле	1	1
31	если бы это	1	1
32	у нас до	1	1
33	может быть в	1	1
