N	2gram	Propp_Isto_7	UchenyiS
1	и в	24	14
2	а не	8	10
3	не только	21	10
4	прежде всего	2	8
5	и не	4	8
6	не может	14	7
7	в этом	12	7
8	то что	7	7
9	может быть	14	6
10	то же	8	5
11	и только	1	5
12	все это	8	5
13	хотя бы	1	5
14	с другой	9	4
15	но и	11	4
16	что такое	2	4
17	в их	4	4
18	в этой	1	4
19	конечно не	2	4
20	то ни	1	3
21	и то	1	3
22	это не	10	3
23	было бы	2	3
24	как и	6	3
25	для этого	1	3
26	в частности	1	3
27	в своей	1	3
28	бы то	1	3
29	очевидно что	1	3
30	и формы	1	3
31	в то	2	3
32	все же	9	3
33	но в	5	3
34	другой стороны	8	3
35	ни было	1	3
36	не о	1	3
37	же не	1	2
38	одним из	1	2
39	и с	1	2
40	а его	3	2
41	до сих	2	2
42	а как	1	2
43	самом деле	1	2
44	должна быть	1	2
45	к области	1	2
46	в некоторых	1	2
47	превращается в	3	2
48	мы не	4	2
49	не приходится	1	2
50	о чем	1	2
51	если бы	1	2
52	что мы	3	2
53	ничего не	5	2
54	не столько	3	2
55	если не	4	2
56	том что	10	2
57	на первый	4	2
58	сводится к	1	2
59	мы и	1	2
60	прием в	1	2
61	но конечно	2	2
62	с его	3	2
63	но не	6	2
64	дело конечно	1	2
65	не все	3	2
66	в его	1	2
67	по существу	4	2
68	что и	8	2
69	по себе	1	2
70	сих пор	3	2
71	но это	3	2
72	в том	7	2
73	что он	21	2
74	как прием	1	2
75	формы и	1	2
76	в самом	2	2
77	и у	2	2
78	только в	6	2
79	не в	9	2
80	все они	1	2
81	наконец он	1	2
82	всех этих	6	2
83	сколько угодно	1	2
84	не могут	2	2
85	в конце	3	2
86	а о	1	2
87	же самое	1	2
88	не случайно	3	2
89	тем что	6	2
90	что она	5	2
91	таким образом	7	2
92	даже и	1	2
93	для себя	1	1
94	и это	2	1
95	об этом	6	1
96	же как	4	1
97	в исторической	1	1
98	искусство и	1	1
99	в этот	1	1
100	но по	2	1
101	входит в	1	1
102	данном случае	3	1
103	сюда же	2	1
104	из самых	2	1
105	возвращается в	1	1
106	или по	1	1
107	много в	2	1
108	и др	2	1
109	еще одно	1	1
110	свое место	2	1
111	она все	1	1
112	сам автор	1	1
113	к которой	2	1
114	и исторически	2	1
115	лет с	1	1
116	никогда не	4	1
117	так и	5	1
118	по его	2	1
119	и возвращается	2	1
120	одной стороны	5	1
121	этого не	2	1
122	у других	1	1
123	с тем	1	1
124	мы имеем	12	1
125	не простой	1	1
126	со своими	1	1
127	и вне	1	1
128	при более	1	1
129	и даже	3	1
130	должно быть	1	1
131	знакомый нам	1	1
132	можно сказать	1	1
133	хочет стать	1	1
134	не вполне	3	1
135	или менее	1	1
136	один пример	1	1
137	затем он	2	1
138	как на	1	1
139	о том	9	1
140	в ней	1	1
141	и потому	1	1
142	в котором	2	1
143	героя не	1	1
144	и что	10	1
145	она в	3	1
146	и этого	1	1
147	он был	1	1
148	все его	2	1
149	в различных	3	1
150	из которых	1	1
151	в пользу	1	1
152	и важный	1	1
153	он будет	1	1
154	все в	2	1
155	своей работе	1	1
156	ее к	1	1
157	он может	4	1
158	в данном	4	1
159	что же	1	1
160	не входит	1	1
161	того что	6	1
162	друг другу	1	1
163	в которых	1	1
164	доказывает что	5	1
165	образом на	1	1
166	так возникает	1	1
167	на его	2	1
168	это значит	2	1
169	ничуть не	1	1
170	что этот	2	1
171	на то	3	1
172	него не	1	1
173	определяется не	1	1
174	еще один	2	1
175	его как	1	1
176	она не	2	1
177	задачи и	3	1
178	для тех	1	1
179	этом случае	1	1
180	первый взгляд	4	1
181	независимо от	1	1
182	его на	2	1
183	и историческая	1	1
184	но тут	1	1
185	в своем	1	1
186	рассказывается в	1	1
187	но для	2	1
188	и все	6	1
189	того как	3	1
190	она должна	1	1
191	тот же	2	1
192	было у	1	1
193	более или	1	1
194	много но	2	1
195	есть ли	1	1
196	и действительно	1	1
197	особенно убедительно	1	1
198	он уже	1	1
199	почему в	1	1
200	в которой	2	1
201	почему по	1	1
202	больше чем	1	1
203	бы ни	1	1
204	находятся в	1	1
205	он в	2	1
206	камня и	1	1
207	тогда когда	3	1
208	с одной	5	1
209	в качестве	3	1
210	но именно	1	1
211	в задачах	1	1
212	приобретает характер	1	1
213	тем более	2	1
214	в известном	1	1
215	что по	2	1
216	уже не	2	1
217	далеко не	1	1
218	имеем в	5	1
219	ее как	2	1
220	то и	4	1
221	же в	1	1
222	и всей	1	1
223	в виде	1	1
224	в нем	6	1
225	связанные с	2	1
226	или даже	2	1
227	но если	1	1
228	он не	6	1
229	сказать что	2	1
230	только как	1	1
231	вводится в	1	1
232	впервые в	1	1
233	очень часто	1	1
234	в первую	7	1
235	часто встречается	1	1
236	и так	2	1
237	религии и	1	1
238	в отдельности	2	1
239	что под	1	1
240	не для	1	1
241	в свое	1	1
242	это верно	1	1
243	несомненно что	1	1
244	но он	2	1
245	но что	1	1
246	у него	10	1
247	мы можем	4	1
248	всего что	1	1
249	явлением и	1	1
250	ее в	3	1
251	и делает	1	1
252	и эта	2	1
253	это в	1	1
254	к убийству	1	1
255	что при	2	1
256	к этому	2	1
257	что в	13	1
258	существование в	1	1
259	в таком	1	1
260	все что	1	1
