N	4gram	Vygotskiy__6	Problema
1	одного и того же	4	2
2	не что иное как	1	2
3	до сих пор мы	1	2
4	когда мы говорим что	2	2
5	прежде чем перейти к	1	2
6	есть не что иное	1	2
7	внимание на то что	1	1
8	именно в этом смысле	1	1
9	это не значит что	1	1
10	в то время как	5	1
11	и в любой другой	1	1
12	для того чтобы ее	1	1
13	мы можем говорить только	1	1
14	заключается в том что	5	1
15	том и в другом	1	1
16	на то что в	1	1
17	так же как и	1	1
18	в том и в	1	1
19	и в другом случае	1	1
20	в связи с этим	1	1
