N	2gram	Ircho_Kome_3	Tvorches
1	и в	22	21
2	как бы	3	17
3	в то	6	15
4	то же	7	13
5	в его	8	13
6	как и	3	12
7	же время	5	12
8	что в	5	12
9	с его	3	11
10	том что	13	11
11	все это	5	10
12	как в	2	8
13	он не	5	8
14	то что	4	8
15	и на	2	7
16	но в	5	7
17	не только	5	7
18	при этом	7	7
19	во многом	1	7
20	у него	4	7
21	и не	21	7
22	в том	12	7
23	в свою	7	7
24	в этом	8	6
25	человека в	2	6
26	в котором	2	6
27	не менее	5	6
28	и его	6	6
29	он сам	1	6
30	о том	8	6
31	и все	2	6
32	что он	8	6
33	а в	7	6
34	жизни в	1	6
35	преступления и	1	5
36	отнюдь не	4	5
37	все же	4	5
38	в этой	3	5
39	таким образом	12	5
40	вовсе не	4	5
41	в своих	2	5
42	потому что	10	5
43	только в	1	5
44	может быть	6	5
45	а не	4	5
46	хотя бы	4	5
47	человека и	2	4
48	из всех	2	4
49	конечном счете	2	4
50	в своем	8	4
51	и как	1	4
52	в целом	3	4
53	это не	2	4
54	в своей	5	4
55	не случайно	1	4
56	в мире	2	4
57	времени и	1	4
58	в конечном	2	4
59	одной из	3	4
60	больше не	1	4
61	в финале	1	4
62	прежде всего	5	4
63	не может	3	4
64	и от	1	4
65	в основном	1	4
66	один из	3	4
67	одним из	2	4
68	я и	1	3
69	и т	4	3
70	той же	1	3
71	я не	1	3
72	не был	1	3
73	что я	1	3
74	со всеми	1	3
75	хотя и	5	3
76	к идеалу	1	3
77	в самом	9	3
78	представляет собой	3	3
79	в нем	3	3
80	на его	2	3
81	на земле	1	3
82	и по	1	3
83	в каждом	1	3
84	что все	1	3
85	и с	4	3
86	и других	1	3
87	соответствии с	1	3
88	далеко не	3	3
89	в их	2	3
90	место в	1	3
91	представление о	2	3
92	дело не	2	3
93	самого начала	4	3
94	не по	7	3
95	никогда не	3	3
96	приходит к	1	3
97	с самого	4	3
98	с ним	5	3
99	там же	1	3
100	в ту	1	3
101	который в	3	3
102	по мнению	2	3
103	во времени	1	3
104	уже в	2	3
105	говорит о	1	3
106	не так	3	3
107	так как	11	3
108	в соответствии	1	3
109	в которой	3	3
110	и даже	3	3
111	с другой	4	3
112	но и	4	3
113	что человек	1	3
114	к человеку	2	3
115	но не	1	3
116	он говорит	2	3
117	для человека	1	3
118	это как	1	3
119	но если	3	3
120	жизни и	1	3
121	это в	2	3
122	так же	4	3
123	в нашей	1	2
124	того же	6	2
125	самом деле	6	2
126	в первом	1	2
127	а как	2	2
128	и гоголя	1	2
129	и он	2	2
130	в ней	4	2
131	собой в	1	2
132	в отличие	1	2
133	в чем	1	2
134	если в	1	2
135	отличие от	2	2
136	в одной	1	2
137	свою вину	2	2
138	как к	1	2
139	когда он	4	2
140	и наконец	1	2
141	то в	1	2
142	к достижению	1	2
143	в себе	4	2
144	на площади	1	2
145	что она	4	2
146	тем не	3	2
147	был всегда	1	2
148	от людей	2	2
149	здесь мы	1	2
150	не будет	2	2
151	а затем	2	2
152	о котором	1	2
153	а по	5	2
154	известно что	1	2
155	и тем	1	2
156	когда я	1	2
157	бога и	1	2
158	такой же	1	2
159	в этих	1	2
160	этой связи	2	2
161	не столько	1	2
162	не в	4	2
163	но он	1	2
164	по крайней	1	2
165	т п	4	2
166	однако в	4	2
167	на свете	1	2
168	и притом	1	2
169	в основе	2	2
170	к ней	8	2
171	людей и	2	2
172	нет ни	2	2
173	могут быть	1	2
174	к тому	6	2
175	а что	1	2
176	в с	1	2
177	отказаться от	2	2
178	чувство стыда	1	2
179	это время	1	2
180	в виду	2	2
181	в себя	1	2
182	приводит к	3	2
183	и когда	1	2
184	так и	4	2
185	за то	2	2
186	живет в	1	2
187	здесь нет	4	2
188	об этом	7	2
189	стремление к	1	2
190	можно сказать	1	2
191	из других	1	2
192	может не	1	2
193	и та	1	2
194	настоящее время	1	2
195	одного из	3	2
196	это первый	1	2
197	что его	5	2
198	что и	8	2
199	крайней мере	1	2
200	вслед за	1	2
201	в двух	3	2
202	тот же	2	2
203	его произведений	1	2
204	больше чем	2	2
205	в качестве	2	2
206	человека с	1	2
207	так что	6	2
208	и у	1	2
209	из них	5	2
210	был бы	2	2
211	мы находим	1	2
212	в современном	1	2
213	только на	1	2
214	что не	3	2
215	что для	2	2
216	до конца	4	2
217	с которым	1	2
218	сам себе	1	2
219	было в	1	2
220	в частности	3	2
221	вместе с	9	2
222	до этого	2	2
223	намек на	1	2
224	надо было	1	2
225	площади и	1	2
226	к жизни	1	2
227	эти слова	1	2
228	в мир	1	2
229	в первой	1	2
230	перед нами	1	2
231	не мог	2	2
232	ли в	2	2
233	или в	1	2
234	из себя	3	2
235	ибо в	1	2
236	только что	7	2
237	на смену	1	2
