N	4gram	Vinokur_Vv_1	Psycholo
1	и в самом деле	3	9
2	заключается в том что	2	4
3	одно и то же	1	2
4	заключается вовсе не в	1	1
5	только в том что	1	1
6	как если бы оно	1	1
7	для того чтобы эта	1	1
8	то для того чтобы	1	1
9	вовсе не в том	1	1
10	в самом деле даже	1	1
11	о том что такое	4	1
12	с этой точки зрения	1	1
13	одной и той же	2	1
14	состоит в том что	2	1
15	была с самого начала	1	1
16	того что в ней	1	1
17	не вытекает из самого	1	1
18	заключается в том чтобы	1	1
19	из него следует что	1	1
20	ничего не может быть	1	1
21	в данном случае и	1	1
