N	2gram	Propp_Russ_2	Otkroven
1	и в	29	19
2	но и	8	13
3	и не	1	13
4	в этом	11	12
5	не в	4	11
6	не только	10	11
7	может быть	13	11
8	а не	4	11
9	человека и	1	10
10	вопрос о	4	10
11	в нем	1	10
12	и все	4	10
13	прежде всего	2	9
14	не было	2	9
15	никогда не	2	9
16	потому что	5	9
17	он был	1	8
18	в его	1	7
19	до конца	3	7
20	ни с	1	7
21	но он	3	7
22	от него	1	7
23	как и	11	6
24	все это	10	6
25	до самого	1	5
26	отношение к	1	5
27	в том	22	5
28	в самом	1	5
29	в этой	3	5
30	для него	1	5
31	него в	1	5
32	а в	9	5
33	то что	5	5
34	все в	2	4
35	все эти	3	4
36	на земле	5	4
37	не может	5	4
38	т е	24	4
39	того чтобы	6	4
40	и его	1	4
41	что в	22	4
42	и есть	1	3
43	о том	9	3
44	еще не	6	3
45	к нему	4	3
46	было бы	3	3
47	того что	3	3
48	когда он	1	3
49	что он	1	3
50	и ее	2	3
51	для того	6	3
52	это не	5	3
53	только одно	1	3
54	могут быть	2	3
55	как бы	18	3
56	с ним	1	3
57	в русской	1	3
58	и от	3	3
59	до самой	1	3
60	в этих	3	3
61	в своих	2	3
62	все что	1	3
63	и с	10	2
64	из всего	1	2
65	те которые	1	2
66	и то	2	2
67	в ее	3	2
68	что у	1	2
69	так и	1	2
70	и о	3	2
71	погружается в	1	2
72	их не	1	2
73	и на	6	2
74	природы и	2	2
75	совсем не	2	2
76	не все	4	2
77	что и	2	2
78	что они	1	2
79	же можно	1	2
80	в своем	1	2
81	все же	2	2
82	сразу же	2	2
83	в этот	10	2
84	и потому	1	2
85	должен был	3	2
86	и этим	1	2
87	в которой	2	2
88	он в	1	2
89	так что	4	2
90	уже в	1	2
91	о которой	1	2
92	что для	3	2
93	одно из	2	2
94	так как	13	2
95	тем что	3	2
96	в других	15	2
97	в другом	1	2
98	его в	8	2
99	человека а	2	2
100	сказать что	1	2
101	с тем	6	2
102	и очень	1	2
103	чем в	2	2
104	должно быть	2	2
105	него не	1	2
106	том что	22	2
107	ставится в	1	2
108	что есть	1	2
109	к этому	5	2
110	и там	3	2
111	в человеческом	1	2
112	с которой	1	2
113	не имеет	3	2
114	и для	2	2
115	ничего не	1	2
116	к ней	2	2
117	жизни в	2	2
118	в своей	2	2
119	что все	1	2
120	к этой	1	2
121	хотя и	1	2
122	ее в	8	2
123	все еще	1	2
124	но в	5	2
125	нет такого	1	1
126	и это	1	1
127	женщины и	1	1
128	например в	1	1
129	и действительно	1	1
130	и через	3	1
131	в виду	2	1
132	на нем	1	1
133	не могу	1	1
134	на самом	2	1
135	это подтверждается	1	1
136	из самых	1	1
137	говорится что	4	1
138	это для	1	1
139	и до	1	1
140	в силе	1	1
141	и когда	1	1
142	можно было	2	1
143	не с	2	1
144	мы не	6	1
145	том как	1	1
146	ту же	1	1
147	уверен что	1	1
148	в первый	1	1
149	если бы	1	1
150	но может	1	1
151	находится в	1	1
152	тут все	1	1
153	другом месте	1	1
154	в ней	1	1
155	в народном	3	1
156	и что	5	1
157	в глаза	2	1
158	после того	2	1
159	с того	1	1
160	это должно	1	1
161	и хлеб	1	1
162	о русской	1	1
163	там и	2	1
164	но не	5	1
165	эти существа	1	1
166	и остаются	1	1
167	но нет	1	1
168	иногда и	2	1
169	в древнем	1	1
170	в форме	2	1
171	чем и	1	1
172	бога к	1	1
173	и чем	1	1
174	существа не	1	1
175	все время	1	1
176	в одной	1	1
177	как в	7	1
178	и мир	1	1
179	бросается в	2	1
180	как например	3	1
181	один из	2	1
182	и как	2	1
183	с ними	1	1
184	ли он	1	1
185	от этого	1	1
186	и после	3	1
187	который в	1	1
188	этот случай	1	1
189	что это	3	1
190	в зачаточном	1	1
191	представляет собой	2	1
192	не оставляет	1	1
193	в эти	1	1
194	человека с	1	1
195	же и	1	1
196	есть уже	1	1
197	только один	1	1
198	уже не	4	1
199	ее как	1	1
200	на то	1	1
201	что она	3	1
202	на этих	1	1
203	и других	3	1
204	из них	4	1
205	после этого	2	1
206	видел в	1	1
207	мир в	1	1
208	был бы	1	1
209	он должен	1	1
210	есть та	1	1
211	в одном	1	1
212	месте и	1	1
213	людей и	2	1
214	этом отношении	1	1
215	погружение в	1	1
216	указывали на	1	1
217	и даже	1	1
218	как у	1	1
219	а именно	3	1
220	с той	1	1
221	а это	1	1
222	связанным с	1	1
223	они живут	3	1
224	в это	1	1
225	смерть и	2	1
226	на поверхности	1	1
227	говорит о	2	1
228	и пр	2	1
229	притом не	1	1
230	в них	4	1
231	этого слова	1	1
232	а с	2	1
233	был в	1	1
234	и своим	1	1
235	о чем	4	1
236	значение что	1	1
237	и тогда	1	1
238	под влиянием	1	1
239	в царстве	1	1
240	в одно	1	1
241	которые будут	1	1
242	не так	1	1
243	связь с	3	1
244	начиная с	2	1
245	исходит от	1	1
246	как это	4	1
247	в иных	1	1
248	в котором	3	1
249	человеком и	1	1
250	связывали с	1	1
251	смысле этого	1	1
252	мир и	1	1
253	над ними	1	1
254	всяком случае	1	1
255	видно что	2	1
256	и более	1	1
257	в конце	1	1
258	как от	1	1
259	быть не	1	1
260	остаются на	1	1
261	но вопрос	1	1
262	и здесь	1	1
263	но это	1	1
264	их во	1	1
265	но у	1	1
266	а иногда	2	1
267	она не	3	1
268	бессмертия и	1	1
269	дело в	1	1
270	того как	2	1
271	одна из	11	1
272	в науке	1	1
273	ее с	1	1
274	есть одно	1	1
275	ее и	2	1
276	для его	1	1
277	по своей	1	1
278	во всем	2	1
279	и дело	2	1
280	как будто	1	1
281	но есть	1	1
282	и начинается	1	1
283	у нас	4	1
284	и эта	1	1
285	но можно	2	1
286	совершенно не	2	1
287	же загадка	1	1
288	природе и	1	1
289	ко всему	1	1
290	чтобы сделать	1	1
291	это конечно	1	1
292	и всех	1	1
293	та же	2	1
294	и состоит	1	1
295	будто бы	5	1
296	это так	1	1
297	во всяком	1	1
298	быть назван	1	1
299	указал на	1	1
