N	3gram	Kanaev_Sov_1	Problema
1	с точки зрения	5	11
2	той или иной	1	11
3	тем не менее	2	10
4	в том что	1	8
5	это значит что	1	7
6	то же самое	2	6
7	по крайней мере	1	6
8	в данном случае	1	5
9	можно было бы	1	4
10	те или иные	1	4
11	во всяком случае	2	4
12	на самом деле	1	3
13	в этом смысле	1	3
14	в зависимости от	4	3
15	в связи с	1	3
16	и ни в	1	3
17	что иное как	1	2
18	сами по себе	1	2
19	тот или иной	1	2
20	и не было	1	2
21	в одном случае	1	2
22	есть не что	1	2
23	не что иное	1	2
24	и прежде всего	1	2
25	в то же	1	2
26	и может быть	1	1
27	но все же	1	1
28	бы все это	1	1
29	дело в том	1	1
30	с ним или	1	1
31	равно как и	1	1
32	как и во	1	1
33	и не может	1	1
34	и в то	1	1
35	времени и пространства	2	1
36	бы то ни	1	1
37	ведь это не	1	1
38	явлений и не	1	1
39	до сих пор	1	1
40	не подлежит никакому	1	1
41	так же как	1	1
42	то ни было	1	1
43	подлежит никакому сомнению	1	1
44	мы не знаем	1	1
45	с одной стороны	1	1
46	в том как	1	1
47	из них это	1	1
48	прежде всего человек	1	1
49	всяком случае не	1	1
50	не в том	1	1
51	не в виде	1	1
52	и в новое	1	1
53	в новое время	1	1
54	другое дело если	1	1
55	в известном смысле	1	1
56	в свою очередь	2	1
57	с самого начала	3	1
58	но отнюдь не	1	1
59	в настоящее время	2	1
60	а может быть	1	1
61	и есть не	1	1
62	в этой области	1	1
63	и наконец все	1	1
