N	2gram	Trubetskoy_1	BTomashe
1	у нас	3	3
2	лучше и	3	2
3	и не	8	2
4	больше чем	1	2
5	все это	11	2
6	в ней	3	2
7	можно было	1	2
8	не то	3	2
9	крайней мере	1	1
10	лучшим из	1	1
11	более что	1	1
12	же не	3	1
13	тем более	3	1
14	говорить о	2	1
15	будто бы	1	1
16	и в	23	1
17	не вполне	3	1
18	к ней	1	1
19	что все	5	1
20	с другой	6	1
21	в своей	1	1
22	на самом	7	1
23	на которой	1	1
24	как будто	5	1
25	не следует	1	1
26	сейчас в	1	1
27	точно и	1	1
28	было бы	3	1
29	все же	13	1
30	всяком случае	2	1
31	кроме того	1	1
32	никак не	1	1
33	между ними	2	1
34	меньше чем	2	1
35	еще не	5	1
36	и на	6	1
37	стоит на	1	1
38	работу по	1	1
39	должна быть	5	1
40	в значительной	1	1
41	нет но	1	1
42	прежде всего	3	1
43	в данном	3	1
44	так и	10	1
45	о них	2	1
46	не было	2	1
47	является только	1	1
48	совершенно не	3	1
49	далеко не	5	1
50	всего в	1	1
51	до конца	1	1
52	нельзя не	1	1
53	а не	1	1
54	что в	8	1
55	в области	4	1
56	другой стороны	5	1
57	и ее	2	1
58	по крайней	1	1
59	отнюдь не	2	1
60	таким образом	31	1
61	вопрос о	3	1
62	и более	2	1
63	и потому	3	1
64	не только	7	1
65	во всяком	2	1
66	свою книгу	1	1
