N	3gram	Propp_Russ_2	Hudozhes
1	в отличие от	3	7
2	с другой стороны	1	5
3	в том что	18	5
4	более или менее	1	5
5	состоит в том	13	4
6	можно сказать что	1	3
7	тем не менее	2	3
8	с одной стороны	2	2
9	для того чтобы	6	2
10	в свою очередь	1	2
11	подобно тому как	3	1
12	так же как	4	1
13	дело не в	1	1
14	и совершенно иной	1	1
15	тем и другим	1	1
16	это и есть	1	1
17	в этих случаях	3	1
18	на нее как	1	1
19	состоит не в	1	1
20	из того что	1	1
21	для него не	1	1
22	что иное как	2	1
23	как и в	1	1
24	в первую очередь	1	1
25	и в том	1	1
26	может быть и	1	1
27	имея в виду	1	1
28	иметь в виду	1	1
29	есть рассказ о	1	1
30	она состоит в	1	1
31	о том что	4	1
32	в этом случае	6	1
33	в настоящее время	1	1
34	не что иное	2	1
35	к новой жизни	1	1
36	между тем это	2	1
37	в то время	2	1
38	все то что	1	1
39	принадлежат к числу	1	1
40	в виду что	1	1
41	не принадлежат к	2	1
42	может быть назван	1	1
43	не может быть	3	1
44	не входит в	1	1
45	на части как	1	1
