N	3gram	Bakhtin_Fr_4	Mirosoze
1	не может быть	1	8
2	для того чтобы	3	4
3	что и в	1	4
4	до сих пор	1	3
5	это и есть	3	3
6	в чем не	1	2
7	подобно тому как	3	2
8	но это не	1	2
9	может быть и	1	2
10	в нем нет	1	2
11	друг за друга	1	2
12	о том что	2	2
13	ни в чем	1	2
14	что это не	1	2
15	в том что	1	2
16	а следовательно и	1	1
17	бога нет ничего	1	1
18	и в нашем	1	1
19	находится в противоречии	1	1
20	никогда не видел	1	1
21	с точки зрения	2	1
22	как и все	5	1
23	но он же	1	1
24	а также в	1	1
25	но и в	3	1
26	в этом отношении	1	1
27	большое место в	2	1
28	он хочет быть	1	1
29	он остается в	1	1
30	есть и в	1	1
31	он думает что	1	1
32	превратить его в	1	1
33	в противоречии с	1	1
34	смысле этого слова	1	1
35	быть может все	2	1
36	по природе своей	1	1
37	и будущее в	1	1
38	земной жизни и	1	1
39	на эту тему	1	1
40	в разных местах	2	1
41	на самом деле	1	1
42	в конце концов	4	1
