N	2gram	Losev_Vesc_1	StatiiOP
1	в и	2	130
2	и в	21	44
3	в том	8	36
4	и т	19	30
5	что в	9	30
6	том что	8	29
7	в этом	4	21
8	т д	19	21
9	вовсе не	10	19
10	не только	36	18
11	то что	27	18
12	было бы	14	17
13	о том	6	17
14	а в	4	17
15	а не	19	16
16	и не	29	16
17	может быть	16	15
18	т е	55	15
19	в данном	5	14
20	можно было	2	13
21	не в	5	12
22	в первой	2	12
23	самом деле	4	11
24	в этой	3	11
25	того чтобы	3	11
26	у нас	7	11
27	точки зрения	5	11
28	но в	5	10
29	ясно что	8	10
30	для того	2	10
31	что он	1	10
32	только в	14	10
33	но и	18	10
34	также и	6	9
35	как и	8	9
36	в отношении	4	9
37	в то	3	9
38	так и	3	9
39	если бы	5	9
40	того что	8	9
41	в его	2	9
42	с другой	6	9
43	во всех	2	8
44	все же	4	8
45	но ведь	2	8
46	это не	5	8
47	из них	4	8
48	с точки	3	8
49	и его	2	8
50	не может	17	8
51	на эти	1	7
52	я не	4	7
53	что они	6	7
54	в самом	9	7
55	таким образом	8	7
56	другой стороны	2	7
57	для нас	2	7
58	этом отношении	1	7
59	до сих	1	7
60	прежде всего	9	7
61	сих пор	1	7
62	сказать что	17	7
63	по поводу	1	7
64	на самом	1	6
65	со стороны	5	6
66	из этих	1	6
67	в своей	5	6
68	потому что	16	6
69	данном случае	2	6
70	что и	3	6
71	всяком случае	2	6
72	так что	5	6
73	для него	4	6
74	именно в	1	6
75	дело в	4	6
76	при чем	1	6
77	его эпохи	1	6
78	в той	3	6
79	что же	8	6
80	но это	10	6
81	хотя бы	6	6
82	во всяком	3	6
83	и то	10	5
84	то же	6	5
85	той же	2	5
86	все эти	3	5
87	в нем	2	5
88	и по	1	5
89	в слове	2	5
90	в котором	3	5
91	не менее	3	5
92	никогда не	2	5
93	могут быть	1	5
94	думаю что	1	5
95	так как	7	5
96	тем что	2	5
97	и даже	6	5
98	нужно сказать	1	5
99	что мы	14	5
100	все это	5	5
101	не при	1	5
102	была бы	2	5
103	совершенно не	5	5
104	жизни и	2	5
105	так же	1	5
106	в рукописи	1	4
107	как это	2	4
108	это и	6	4
109	мы любим	1	4
110	в которой	1	4
111	вопрос о	1	4
112	в основу	1	4
113	бы и	5	4
114	что это	13	4
115	на то	4	4
116	что она	15	4
117	и почему	1	4
118	в россии	2	4
119	является не	1	4
120	но если	8	4
121	том как	1	4
122	представление о	1	4
123	можно ли	7	4
124	дело не	2	4
125	как будто	1	4
126	в ее	7	4
127	что у	5	4
128	на вопрос	1	4
129	и что	15	4
130	заключается в	1	4
131	во втором	2	4
132	этот вопрос	1	4
133	в качестве	1	4
134	же и	1	4
135	никто не	1	4
136	мы находим	2	4
137	как раз	9	4
138	не было	1	4
139	даже не	7	4
140	к которому	1	4
141	в частности	1	4
142	как бы	12	4
143	еще более	2	4
144	того или	1	4
145	это в	1	4
146	гораздо более	1	4
147	же как	1	3
148	того же	5	3
149	и без	3	3
150	должна быть	4	3
151	то это	3	3
152	конечно и	1	3
153	в ней	12	3
154	еще не	8	3
155	в чем	6	3
156	но не	5	3
157	не все	1	3
158	и я	1	3
159	в истории	1	3
160	с этим	3	3
161	как к	4	3
162	говорит что	1	3
163	то в	4	3
164	это можно	2	3
165	меньшей мере	1	3
166	ведь и	5	3
167	не значит	7	3
168	же это	4	3
169	эпохи не	1	3
170	в другом	2	3
171	и с	8	3
172	и тем	3	3
173	ни в	1	3
174	о которой	2	3
175	что не	5	3
176	тому что	2	3
177	в конце	2	3
178	о значении	1	3
179	по меньшей	1	3
180	в основе	3	3
181	этих двух	2	3
182	из истории	2	3
183	должны быть	4	3
184	что оно	8	3
185	в применении	1	3
186	должен быть	2	3
187	для себя	5	3
188	не хочу	1	3
189	то или	2	3
190	об этом	3	3
191	поэтому в	1	3
192	и нужно	1	3
193	внимание на	1	3
194	тем или	1	3
195	и только	3	3
196	значит что	24	3
197	но с	2	3
198	в двух	1	3
199	и так	1	3
200	с одной	3	3
201	если это	2	3
202	вопроса о	1	3
203	в виде	1	3
204	ни с	6	3
205	а именно	1	3
206	а с	3	3
207	говорит о	1	3
208	на этот	1	3
209	применении к	2	3
210	да и	3	3
211	эти вопросы	1	3
212	с этой	4	3
213	вопрос в	1	3
214	не является	1	3
215	и для	9	3
216	в результате	3	3
217	будто бы	1	3
218	ничего общего	1	3
219	мере в	1	2
220	в первом	2	2
221	ii и	1	2
222	мы имеем	7	2
223	мы не	6	2
224	бы что	2	2
225	оба эти	3	2
226	в сущности	4	2
227	время как	1	2
228	из того	2	2
229	быть в	1	2
230	и большинство	1	2
231	отношение к	1	2
232	что как	1	2
233	в своем	6	2
234	есть в	1	2
235	в каком-то	2	2
236	от этого	2	2
237	так или	4	2
238	думать что	1	2
239	раз в	1	2
240	в себе	14	2
241	но он	2	2
242	работ по	1	2
243	но на	2	2
244	не могла	1	2
245	вообще не	2	2
246	при этом	1	2
247	но именно	2	2
248	опять-таки не	1	2
249	всех этих	1	2
250	свою собственную	1	2
251	и более	1	2
252	свое время	2	2
253	я бы	1	2
254	тут не	5	2
255	что все	2	2
256	разница между	1	2
257	при помощи	2	2
258	в данной	1	2
259	его в	2	2
260	это вовсе	2	2
261	в свой	2	2
262	должен был	1	2
263	и уже	1	2
264	согласен с	1	2
265	нисколько не	4	2
266	знает и	2	2
267	бы мы	1	2
268	втором случае	1	2
269	без всяких	1	2
270	их в	3	2
271	тем самым	1	2
272	как можно	3	2
273	что эта	1	2
274	она не	4	2
275	меня не	2	2
276	было не	1	2
277	говорить о	6	2
278	случае не	1	2
279	ничего не	3	2
280	имеем дело	3	2
281	тем не	3	2
282	только с	3	2
283	что на	2	2
284	есть только	7	2
285	ли не	1	2
286	кем и	1	2
287	о них	1	2
288	и это	14	2
289	без всякого	4	2
290	то время	1	2
291	нужно было	2	2
292	которая была	1	2
293	для этого	4	2
294	только у	1	2
295	а также	1	2
296	может не	2	2
297	нет это	2	2
298	и все	5	2
299	и во	3	2
300	крайней мере	4	2
301	и можно	1	2
302	к нему	1	2
303	быть и	1	2
304	по своей	2	2
305	д и	5	2
