N	3gram	Losev_Vlad_3	Sotsiolo
1	и заключается что	1	2
2	в том что	10	2
3	в конце концов	5	2
4	сказать и о	1	1
5	это и есть	1	1
6	в настоящее время	3	1
7	а вот в	1	1
8	в том и	1	1
9	и в этом	5	1
10	не может не	1	1
11	только то что	1	1
12	то что в	3	1
13	то же самое	1	1
14	как то что	1	1
15	о том как	1	1
16	сама по себе	1	1
17	что это вовсе	1	1
18	благодаря тому что	1	1
19	том что это	1	1
20	в то же	3	1
21	это вовсе не	1	1
22	а с другой	2	1
23	в этой области	1	1
24	выходит за пределы	1	1
25	трудно представить себе	1	1
26	на точке зрения	1	1
27	в связи с	2	1
28	на первый план	2	1
29	не выходит за	1	1
30	то же время	2	1
31	ровно ничего не	1	1
32	и никак не	1	1
33	прежде всего не	1	1
34	в противном случае	1	1
35	и в то	2	1
36	в его системе	1	1
37	с одной стороны	3	1
38	том и заключается	1	1
39	бы он ни	1	1
40	во всяком случае	3	1
