N	3gram	Tiupa_Anal_2	PoTuStor
1	с точки зрения	2	6
2	в этом смысле	2	3
3	по крайней мере	3	3
4	не может быть	1	3
5	можно сказать что	1	3
6	в самом деле	1	2
7	о том что	6	2
8	но отнюдь не	1	2
9	в конечном счете	2	2
10	и в этом	4	2
11	если бы он	1	1
12	одних и тех	1	1
13	бы он был	1	1
14	ничего не говорит	1	1
15	подобно тому как	3	1
16	то же самое	1	1
17	герой нашего времени	1	1
18	в этой борьбе	1	1
19	есть в сущности	1	1
20	в этом отношении	3	1
21	в углу комнаты	1	1
22	можно было бы	2	1
23	как это было	1	1
24	со всех сторон	1	1
25	с этой точки	1	1
26	и тех же	1	1
27	эстетический все это	1	1
28	мы узнаем о	1	1
29	в данном случае	5	1
30	и т.п и	1	1
31	с одной стороны	4	1
32	в связи с	1	1
33	очень близко к	1	1
34	как один из	1	1
35	в применении к	1	1
36	в борьбу с	1	1
37	имеем дело с	1	1
38	не имеет места	1	1
39	при всей их	1	1
40	в свое время	1	1
41	в том что	6	1
42	этой точки зрения	1	1
43	отношения к предмету	1	1
44	все это приводит	1	1
45	из того же	1	1
46	что иное как	1	1
47	тому как мы	1	1
48	в том смысле	1	1
49	не что иное	1	1
50	точки зрения может	1	1
51	друг с другом	1	1
52	в этой плоскости	1	1
53	обратим внимание на	1	1
54	той или иной	3	1
