N	2gram	Kanaev_Sov_1	Psycholo
1	в том	4	37
2	и в	7	32
3	и что	2	22
4	том что	1	21
5	таким образом	11	21
6	что в	2	20
7	может быть	12	18
8	так же	1	18
9	точки зрения	12	17
10	не может	17	17
11	самом деле	2	16
12	что она	3	16
13	то же	3	13
14	в этом	7	13
15	при этом	3	13
16	в самом	2	12
17	не только	4	12
18	по себе	1	12
19	с и	1	12
20	если мы	4	12
21	так как	4	12
22	было бы	3	11
23	с точки	5	10
24	как и	6	10
25	и не	6	10
26	никогда не	1	9
27	что при	2	9
28	что все	2	9
29	в своих	1	9
30	той же	2	8
31	что это	2	8
32	не в	3	8
33	не менее	2	8
34	все эти	5	7
35	ясно что	3	7
36	такой же	2	7
37	и его	1	7
38	можно было	1	7
39	только в	1	7
40	мы знаем	2	7
41	а не	3	7
42	сказать что	1	7
43	в этой	3	6
44	он не	1	6
45	если бы	1	6
46	те же	1	6
47	о том	1	6
48	все время	1	6
49	и мы	3	6
50	тот же	2	6
51	и из	1	6
52	как бы	4	6
53	же самое	2	6
54	на самом	1	5
55	что его	1	5
56	только на	1	5
57	все это	3	5
58	в то	1	5
59	только из	1	5
60	в ней	1	5
61	утверждает что	1	5
62	и даже	2	5
63	до сих	1	5
64	отнюдь не	3	5
65	сих пор	1	5
66	же как	1	4
67	есть не	1	4
68	мы имеем	1	4
69	с этим	2	4
70	все же	3	4
71	в действительности	1	4
72	в целом	4	4
73	и те	1	4
74	в нем	3	4
75	к одному	1	4
76	одной и	1	4
77	и по	2	4
78	том случае	1	4
79	несмотря на	1	4
80	в данном	1	4
81	знаем что	2	4
82	и той	1	4
83	которые в	1	4
84	и более	1	4
85	не имеет	1	4
86	но только	1	4
87	ничего не	6	4
88	и до	1	4
89	и для	1	4
90	могут быть	2	4
91	тем не	2	4
92	если же	2	4
93	и это	1	4
94	данном случае	1	4
95	мы видим	2	4
96	из них	4	4
97	а на	2	4
98	при таком	3	4
99	и все	3	4
100	а в	4	4
101	совершенно не	2	4
102	жизни и	4	4
103	мы не	9	3
104	или же	2	3
105	во всех	1	3
106	но как	1	3
107	и к	3	3
108	но в	3	3
109	та же	1	3
110	он в	3	3
111	по самому	1	3
112	на этом	2	3
113	к области	1	3
114	это только	1	3
115	представление о	1	3
116	что с	1	3
117	мы можем	6	3
118	видим что	1	3
119	не могут	2	3
120	на это	1	3
121	с ее	1	3
122	мы в	1	3
123	с другой	1	3
124	в конечном	1	3
125	мы должны	4	3
126	значит что	1	3
127	один из	1	3
128	этот вопрос	1	3
129	конечном счете	1	3
130	и их	1	3
131	сами по	1	3
132	в конце	3	3
133	абсолютной величины	2	3
134	что же	5	3
135	по существу	1	3
136	это значит	1	3
137	еще более	2	3
138	в свою	2	3
139	же мы	2	3
140	в объяснении	1	2
141	того же	1	2
142	не имеют	1	2
143	все те	2	2
144	еще не	3	2
145	входящих в	1	2
146	из всех	1	2
147	это совершенно	1	2
148	только все	1	2
149	в первый	1	2
150	бы то	1	2
151	с его	1	2
152	но не	1	2
153	мы будем	1	2
154	точка зрения	1	2
155	явлений и	1	2
156	если в	1	2
157	отличие от	2	2
158	в очень	1	2
159	но эта	1	2
160	увидим что	1	2
161	в которой	2	2
162	мы получаем	3	2
163	и тот	1	2
164	в себе	3	2
165	как он	3	2
166	на его	2	2
167	заключает в	1	2
168	форма в	2	2
169	в каждом	8	2
170	то ни	2	2
171	значение в	2	2
172	это не	4	2
173	форму и	1	2
174	должен был	1	2
175	и при	1	2
176	всяком случае	2	2
177	своему существу	1	2
178	их в	4	2
179	оно конечно	1	2
180	этой области	1	2
181	все более	1	2
182	в процессе	1	2
183	он с	1	2
184	и всегда	1	2
185	это то	1	2
