N	3gram	Bakhtin_Pr_1	Sovremen
1	с точки зрения	6	5
2	не может быть	11	4
3	тем не менее	3	2
4	в отличие от	5	2
5	в свою очередь	1	2
6	может быть и	1	2
7	мы можем назвать	1	2
8	в настоящее время	1	2
9	то же самое	2	2
10	точки зрения с	1	1
11	как мы это	1	1
12	и может быть	1	1
13	в том как	1	1
14	что иное как	1	1
15	и в этом	1	1
16	одной стороны и	1	1
17	мы в дальнейшем	1	1
18	не могут быть	2	1
19	не в том	1	1
20	в дальнейшем и	1	1
21	ни в один	1	1
22	в связи с	1	1
23	не дает нам	1	1
24	оно может быть	1	1
25	в этом направлении	1	1
26	а о значении	1	1
27	дело в том	1	1
28	по отношению к	19	1
29	равно как и	1	1
30	на самом деле	3	1
31	могут быть поняты	2	1
32	в этом смысле	3	1
33	в свое время	1	1
34	не было бы	1	1
35	совершенно независимо от	2	1
36	до сих пор	1	1
37	и во всех	2	1
38	принципиально не может	1	1
39	то же время	3	1
40	раз и навсегда	1	1
41	и в то	2	1
42	сами по себе	1	1
43	по аналогии с	1	1
44	есть не что	1	1
45	может иметь место	1	1
46	бы то ни	3	1
47	и именно в	1	1
48	существенно отличается от	1	1
49	но отнюдь не	7	1
50	в конечном счете	4	1
51	поняты с точки	1	1
52	можно было бы	3	1
53	и не может	2	1
54	в самом деле	3	1
55	но никогда не	1	1
56	той или иной	2	1
57	и прежде всего	5	1
58	не более как	1	1
59	что дело идет	1	1
60	и ничего не	1	1
61	не может но	1	1
62	может быть только	3	1
63	в то же	3	1
64	это как бы	1	1
65	который как бы	1	1
66	лишь там где	2	1
67	что все они	1	1
68	не что иное	1	1
69	быть поняты с	1	1
70	со всеми его	1	1
71	должны ли мы	3	1
72	в том что	3	1
73	в данном случае	4	1
74	никакому сомнению что	1	1
75	на этот вопрос	1	1
76	она не может	1	1
77	не является исключением	1	1
78	дело идет о	1	1
79	ничто не может	1	1
80	то ни было	2	1
81	и наконец все	1	1
82	с одной стороны	3	1
83	готовом виде и	1	1
84	именно в том	1	1
