N	3gram	Losev_Vesc_1	Freidism
1	с точки зрения	3	11
2	во всяком случае	2	7
3	не может быть	6	7
4	в самом деле	4	6
5	в зависимости от	1	4
6	в то же	1	4
7	в данном случае	2	4
8	можно сказать что	3	4
9	для того чтобы	2	3
10	бы то ни	4	3
11	в собственном смысле	2	3
12	в свою очередь	4	3
13	прежде всего к	1	3
14	то же самое	1	2
15	до сих пор	1	2
16	с другой –	1	2
17	внутренней и внешней	1	2
18	все это –	2	2
19	все то что	1	2
20	в этом отношении	1	2
21	это и есть	1	2
22	это – только	1	2
23	то ни было	4	2
24	с одной стороны	3	2
25	тем не менее	3	2
26	в конце концов	2	2
27	мы видели что	1	2
28	это выражение и	1	1
29	или хотя бы	1	1
30	ничто нам не	1	1
31	только потому что	1	1
32	– не только	1	1
33	но мы не	1	1
34	ничего не было	1	1
35	по меньшей мере	1	1
36	равно как и	2	1
37	и даже не	3	1
38	отождествление себя с	1	1
39	но даже и	2	1
40	нам судить о	1	1
41	как бы ни	2	1
42	как раз и	1	1
43	ее – не	1	1
44	в своих прежних	1	1
45	того что мы	1	1
46	можно говорить о	2	1
47	оно и есть	1	1
48	на самом же	1	1
49	своих прежних работах	1	1
50	только то что	2	1
51	в себе и	1	1
52	из того что	2	1
53	и потому со	1	1
54	при таких условиях	1	1
55	в основе своей	2	1
56	точки зрения строгой	1	1
57	– только одна	1	1
58	по крайней мере	4	1
59	и тем не	1	1
60	в коем случае	1	1
61	даже и не	1	1
62	можем ли мы	1	1
63	между ними в	1	1
64	ни в коем	1	1
65	однако и здесь	1	1
66	мы не знаем	1	1
67	только один из	1	1
68	и имен и	1	1
69	может обойтись без	1	1
70	между ними уже	1	1
71	как будто бы	1	1
72	по сравнению с	6	1
73	динамика и ее	1	1
74	для этого нужно	2	1
75	это – не	1	1
76	то что как	1	1
77	и пр –	1	1
78	то что же	1	1
79	– об этом	1	1
80	что же такое	3	1
81	это было бы	1	1
82	мы не можем	1	1
83	только одна из	1	1
84	от того что	1	1
85	в то время	1	1
86	мы уже сказали	1	1
87	нам не дает	1	1
88	то что мы	2	1
89	коем случае не	1	1
90	о том что	4	1
91	что между ними	1	1
92	сама с собою	1	1
93	не только не	2	1
94	себя с ним	1	1
95	не может обойтись	1	1
96	нею как и	1	1
97	и что он	1	1
98	и т д	19	1
99	ровно ничего что	1	1
100	самом же деле	1	1
101	в том что	4	1
102	она не может	2	1
103	что и в	1	1
104	ними уже не	1	1
105	но в чем	1	1
