N	2gram	Propp_Isto_3	Psycholo
1	в том	9	37
2	и в	22	32
3	и что	2	22
4	таким образом	10	21
5	потому что	3	21
6	то что	7	21
7	том что	8	21
8	что в	15	20
9	так же	3	18
10	может быть	11	18
11	точки зрения	2	17
12	не может	4	17
13	что и	9	17
14	самом деле	1	16
15	что она	5	16
16	при этом	2	13
17	то же	6	13
18	в этом	17	13
19	что он	9	13
20	по себе	1	12
21	заключается в	1	12
22	не только	14	12
23	так как	7	12
24	на то	1	11
25	было бы	3	11
26	с тем	2	11
27	как и	3	10
28	и т	16	10
29	но и	12	10
30	с точки	1	10
31	и не	12	10
32	при помощи	3	10
33	что при	1	9
34	никогда не	3	9
35	как в	2	9
36	тем что	4	9
37	не менее	5	8
38	что это	1	8
39	не в	4	8
40	дело с	2	8
41	того что	5	8
42	той же	2	8
43	все эти	4	7
44	что они	8	7
45	к тому	3	7
46	совершенно ясно	1	7
47	и его	4	7
48	как будто	2	7
49	сказать что	3	7
50	ясно что	1	7
51	такой же	2	7
52	только в	4	7
53	а не	6	7
54	можно было	1	7
55	и как	3	7
56	мы знаем	2	7
57	тот же	1	6
58	все время	2	6
59	он не	5	6
60	в этой	5	6
61	о том	3	6
62	целый ряд	3	6
63	если бы	6	6
64	как бы	1	6
65	как на	1	5
66	все это	1	5
67	сих пор	5	5
68	до сих	5	5
69	на самом	2	5
70	и даже	2	5
71	на все	2	5
72	и на	4	5
73	что его	1	5
74	что у	3	5
75	в то	2	5
76	далеко не	3	5
77	исходит из	1	5
78	в ней	2	5
79	есть только	2	5
80	только на	2	5
81	отнюдь не	1	5
82	образом и	2	4
83	все же	5	4
84	и с	4	4
85	о ней	2	4
86	данном случае	3	4
87	жизни и	2	4
88	и тем	1	4
89	и для	2	4
90	и все	3	4
91	в жизни	2	4
92	в нем	9	4
93	от того	1	4
94	как это	4	4
95	а на	1	4
96	и те	1	4
97	в чем	3	4
98	есть не	1	4
99	с этой	1	4
100	совершенно не	2	4
101	знаем что	2	4
102	и более	2	4
103	между тем	2	4
104	и той	1	4
105	которые в	1	4
106	не имеет	2	4
107	утверждать что	2	4
108	из этого	1	4
109	в целом	3	4
110	что на	4	4
111	как она	1	4
112	с этим	8	4
113	и поэтому	1	4
114	и сам	1	4
115	ничего не	6	4
116	при таком	1	4
117	тем не	5	4
118	мы имеем	19	4
119	ту же	2	4
120	же как	2	4
121	могут быть	5	4
122	того как	1	4
123	мы видим	8	4
124	а в	6	4
125	совершенно правильно	1	4
126	одной и	1	4
127	столь же	1	4
128	из которого	2	4
129	если же	1	4
130	указывает что	1	4
131	и до	1	4
132	и по	1	4
133	никак не	1	4
134	и это	2	4
135	из них	7	4
136	в данном	4	4
137	с ее	1	3
138	с другой	7	3
139	главным образом	1	3
140	и вот	2	3
141	но он	4	3
142	показывает что	5	3
143	время как	2	3
144	и другой	1	3
145	так и	2	3
146	и их	1	3
147	что не	2	3
148	же мы	1	3
149	и так	2	3
150	хотя бы	1	3
151	мы не	1	3
152	так что	5	3
153	в своей	1	3
154	об этом	1	3
155	это значит	1	3
156	и он	2	3
157	столько же	1	3
158	каким образом	1	3
159	были бы	1	3
160	что же	1	3
161	например в	2	3
162	видим что	4	3
163	в нашей	1	3
164	сами по	1	3
165	но как	1	3
166	он все	3	3
167	еще более	2	3
168	и то	2	3
169	и к	3	3
170	которых мы	1	3
171	он сказал	1	3
172	относится к	2	3
173	мы должны	7	3
174	точно так	2	3
175	во всем	1	3
176	один из	5	3
177	на это	2	3
178	то это	2	3
179	тому как	1	3
180	по своему	1	3
181	для этого	1	3
182	он в	1	3
183	приходит к	1	3
184	мы можем	6	3
185	на этом	4	3
186	не как	1	3
187	представление о	3	3
188	материал не	1	3
189	и ее	3	3
190	в частности	5	3
191	но в	10	3
192	то время	2	3
193	в каком	1	3
194	которые не	1	3
195	в которых	2	3
196	состоит в	3	3
197	этот вопрос	2	3
198	указывает на	1	3
199	не могли	1	3
200	образом в	2	3
201	том чтобы	1	3
202	согласии с	1	3
203	как говорит	1	3
204	в свою	4	3
205	что по	2	2
206	его от	1	2
207	но когда	1	2
208	форма в	1	2
209	и этот	1	2
210	это может	1	2
211	и здесь	7	2
212	на его	3	2
213	для нас	4	2
214	которой мы	1	2
215	что такие	1	2
216	еще не	10	2
217	в особенности	2	2
218	во всяком	2	2
219	в него	2	2
220	всю жизнь	2	2
221	с того	2	2
222	мысль что	1	2
223	это то	1	2
224	говорит о	1	2
225	она является	1	2
226	на том	3	2
227	в состоянии	1	2
228	отличается от	1	2
229	в русском	2	2
230	пришел к	1	2
231	т д	15	2
232	обнаруживается в	1	2
233	не было	2	2
234	после того	2	2
235	к людям	1	2
236	может оказаться	1	2
237	вовсе не	2	2
238	до самой	1	2
239	вместе с	9	2
240	как можно	1	2
241	как нечто	1	2
242	это в	1	2
243	там где	7	2
244	с двумя	1	2
245	этой точки	1	2
246	бы не	1	2
247	нам что	1	2
248	с другими	1	2
249	в руках	1	2
250	если она	1	2
251	в этих	11	2
252	казалось бы	1	2
253	ли это	2	2
254	об изменении	1	2
255	ответ на	1	2
256	такое же	1	2
257	мы находим	1	2
258	в свете	5	2
259	их с	1	2
260	но не	7	2
261	и только	1	2
262	действия и	1	2
263	в ее	1	2
264	здесь мы	5	2
265	вплоть до	1	2
266	все те	1	2
267	как не	1	2
268	в таком	1	2
269	не имеют	2	2
270	это не	6	2
271	состоит из	1	2
