N	2gram	Vygotskiy__5	ViktorSh
1	и в	16	2
2	том что	15	2
3	в том	18	2
4	в конце	1	2
5	и только	1	1
6	тем более	4	1
7	которые они	1	1
8	все дело	2	1
9	под влиянием	1	1
10	в другом	6	1
11	хотя бы	5	1
12	и не	12	1
13	все время	1	1
14	и его	3	1
15	потому что	21	1
16	я не	2	1
17	даже не	1	1
18	более чем	1	1
19	сводится к	1	1
20	и то	4	1
21	теснейшим образом	1	1
22	самом деле	3	1
23	другом месте	4	1
24	и т.д	4	1
25	языка если	1	1
26	все это	2	1
27	совершенно ясно	2	1
28	по поводу	2	1
29	именно в	4	1
30	главным образом	1	1
31	этом и	1	1
32	в теории	4	1
33	в их	3	1
34	как же	1	1
35	в частности	3	1
36	речи и	6	1
37	одно и	1	1
38	столь же	2	1
39	образом из	1	1
40	говоря о	1	1
41	старых и	1	1
42	в самом	4	1
43	только в	10	1
44	то же	8	1
45	ясно что	1	1
46	так как	16	1
47	этому и	1	1
48	и составляет	4	1
49	чем к	1	1
50	но это	3	1
51	что язык	1	1
52	в этом	25	1
53	одном и	1	1
54	они на	1	1
55	находится под	1	1
56	да и	1	1
57	чем больше	1	1
58	а только	4	1
59	и заключается	1	1
60	по существу	3	1
61	к этому	3	1
62	значительной степени	1	1
63	гораздо более	1	1
64	образом связаны	1	1
65	том же	1	1
