N	2gram	Vinokur_St_3	VeschiIm
1	т е	8	42
2	не может	7	33
3	не только	12	31
4	может быть	19	29
5	и не	10	28
6	и в	25	26
7	то что	12	24
8	это значит	1	22
9	и т	8	21
10	т д	2	20
11	а не	5	20
12	не просто	2	18
13	что я	3	16
14	в смысле	4	15
15	только в	6	14
16	что она	1	14
17	по себе	1	13
18	и что	3	13
19	того что	5	13
20	все же	4	12
21	и ее	2	12
22	что это	16	12
23	но и	9	12
24	есть не	1	12
25	вещи но	1	12
26	сказать что	4	12
27	и то	1	12
28	было бы	7	12
29	с нею	1	11
30	таким образом	10	11
31	что же	1	11
32	а и	1	11
33	и больше	1	10
34	потому что	5	10
35	то же	5	10
36	что такое	7	10
37	уже не	3	10
38	в ней	4	10
39	что мы	3	10
40	как бы	6	10
41	и с	4	9
42	прежде всего	10	9
43	еще и	1	9
44	в том	20	9
45	что не	2	9
46	в самом	2	9
47	больше ничего	1	9
48	на то	5	8
49	с ее	2	8
50	ничего не	4	8
51	себя и	2	8
52	и это	5	8
53	но это	4	8
54	со своим	1	7
55	говорить о	3	7
56	как с	1	7
57	и их	1	7
58	в этом	24	7
59	как раз	3	7
60	его в	1	7
61	в свете	1	7
62	и пр	13	7
63	в то	7	7
64	также и	1	7
65	есть и	1	7
66	так как	3	7
67	том что	15	7
68	когда мы	1	6
69	жизни и	1	6
70	точки зрения	7	6
71	что они	2	6
72	отличается от	4	6
73	это есть	4	6
74	крайней мере	4	6
75	по крайней	4	6
76	что является	1	6
77	с ним	1	6
78	так что	11	6
79	и только	2	6
80	что в	19	6
81	для него	3	6
82	относится к	4	6
83	должно быть	1	6
84	ясно что	1	6
85	со стороны	3	6
86	в результате	2	6
87	но что	1	6
88	но в	5	6
89	можно было	1	6
90	и как	1	6
91	еще не	2	5
92	же это	1	5
93	того же	2	5
94	для этого	2	5
95	и для	4	5
96	для себя	1	5
97	должна быть	1	5
98	не менее	2	5
99	не в	6	5
100	с тем	4	5
101	а в	6	5
102	но не	2	5
103	в ее	1	5
104	с этой	3	5
105	это не	7	5
106	что для	3	5
107	у нас	4	5
108	в отношении	2	5
109	в чем	4	5
110	свою очередь	1	5
111	в сущности	2	5
112	с самой	1	5
113	тем не	2	5
114	если бы	4	5
115	одна из	2	5
116	и до	1	5
117	чем же	1	5
118	на себя	1	5
119	ни на	2	5
120	в свою	2	5
121	тем что	19	4
122	этой вещи	3	4
123	на себе	2	4
124	же время	3	4
125	о том	8	4
126	как и	4	4
127	на почве	5	4
128	независимо от	5	4
129	мы не	2	4
130	то и	2	4
131	е не	1	4
132	во всех	2	4
133	в их	3	4
134	вещи в	1	4
135	есть ее	1	4
136	быть не	2	4
137	собственном смысле	1	4
138	нет и	2	4
139	как я	2	4
140	что есть	1	4
141	в своем	1	4
142	с этим	7	4
143	и о	1	4
144	говорить что	1	4
145	точка зрения	4	4
146	в и	1	4
147	что значит	1	4
148	то это	1	4
149	между собою	2	4
150	от того	2	4
151	что и	1	4
152	однако не	1	4
153	с точки	4	4
154	с другой	5	4
155	собственно говоря	1	4
156	должен быть	2	4
157	и все	1	4
158	из них	1	4
159	так чтобы	2	4
160	и более	3	4
161	в данном	1	4
162	можно и	1	3
163	бы в	1	3
164	вопрос о	1	3
165	в собственном	1	3
166	можно сказать	4	3
167	на это	2	3
168	она является	1	3
169	но то	1	3
170	а это	1	3
171	своего существования	1	3
172	так и	5	3
173	этот тип	2	3
174	в жизни	4	3
175	как можно	2	3
176	в нем	1	3
177	вещи мы	1	3
178	и вообще	1	3
179	хотя бы	1	3
180	нисколько не	1	3
181	того чтобы	1	3
182	в своей	4	3
183	или как	1	3
184	в одном	1	3
185	мы находим	2	3
186	вместе с	2	3
187	отношение к	4	3
188	отношения к	1	3
189	в чисто	2	3
190	в той	1	3
191	но как	2	3
192	к тому	2	3
193	к ней	4	3
194	в а	1	3
195	и сам	1	3
196	но ясно	1	3
197	что нужно	2	3
198	тогда когда	2	3
199	нет никакой	1	3
200	вещей в	1	3
201	один из	2	3
202	а с	2	3
203	никогда не	2	3
204	ее с	1	3
205	она отличается	1	3
206	мы имеем	5	3
207	тому как	1	3
208	без всякого	2	3
209	вещь как	1	3
210	между прочим	3	3
211	если я	2	3
212	сам по	1	3
213	и ни	2	3
214	мы видим	4	3
215	не понимает	1	3
216	даже и	1	3
217	на этом	3	3
218	несмотря на	3	3
219	тем более	3	3
220	вещами и	1	3
221	все это	8	3
222	самом деле	2	3
223	или менее	1	3
224	что он	19	3
225	как оно	1	3
226	не буду	2	3
227	и тогда	2	3
228	как о	2	3
229	что именно	2	3
230	более или	1	3
231	есть какой-то	1	2
232	может не	1	2
233	о которых	3	2
234	и этот	1	2
235	приводит к	1	2
236	в в	3	2
237	а а	6	2
238	личность как	1	2
239	во всяком	4	2
240	бы на	1	2
241	от этого	1	2
242	в разных	1	2
243	так же	1	2
244	не стоит	1	2
245	эти вещи	3	2
246	смысл в	1	2
247	я имею	3	2
248	на такой	1	2
249	это выражение	2	2
250	и эти	1	2
251	смысле что	1	2
252	как нечто	1	2
253	и во	2	2
254	то есть	2	2
255	что из	2	2
256	но можно	1	2
257	то без	1	2
258	это совершенно	1	2
259	не годится	1	2
260	об этом	5	2
261	казалось бы	1	2
262	то в	4	2
263	а потому	2	2
264	если не	1	2
265	но зато	1	2
266	но все	2	2
267	них и	1	2
268	не мог	2	2
269	что ее	1	2
270	а затем	1	2
271	о которой	2	2
272	состоит из	1	2
273	этой точки	1	2
274	остановиться на	1	2
275	но они	2	2
276	чтобы и	1	2
277	переход от	1	2
278	так или	1	2
279	находим в	1	2
280	на него	1	2
281	говорить об	1	2
282	как в	6	2
283	находится в	1	2
