N	3gram	Vygotskiy__2	Hudozhes
1	о том что	4	9
2	и т п	8	8
3	то же время	2	8
4	в то же	2	8
5	в том что	17	6
6	в самом деле	11	4
7	можно было бы	4	4
8	к тому что	2	4
9	с точки зрения	10	3
10	в этом отношении	5	3
11	в связи с	1	3
12	в первой главе	1	3
13	и в самом	4	3
14	тем не менее	4	3
15	как и в	2	3
16	и т д	2	3
17	том что в	2	2
18	только потому что	2	2
19	о том как	1	2
20	того или иного	2	2
21	что же касается	1	2
22	только в том	4	2
23	что он не	2	2
24	до сих пор	5	2
25	не согласиться с	1	2
26	не в том	2	2
27	связи с этим	1	2
28	вместо того чтобы	1	2
29	не может быть	8	2
30	в конечном счете	3	2
31	на то что	6	2
32	на то чтобы	1	2
33	а между тем	1	1
34	потому что он	1	1
35	и там где	1	1
36	в этих двух	1	1
37	все дело в	1	1
38	бы можно было	1	1
39	состоит в том	2	1
40	та же самая	1	1
41	на самом деле	5	1
42	но при этом	1	1
43	в этом смысле	1	1
44	том что он	3	1
45	не впадая в	1	1
46	то же самое	6	1
47	же как и	1	1
48	в таком случае	1	1
49	том случае если	4	1
50	с самого начала	1	1
51	сами по себе	3	1
52	более или менее	1	1
53	случае если оно	1	1
54	что все эти	1	1
55	и та же	1	1
56	того и другого	2	1
57	из народной жизни	1	1
58	в отличие от	1	1
59	заключает в себе	2	1
60	каждый из них	2	1
61	с этой точки	1	1
62	в том случае	4	1
63	не похожи на	1	1
64	в узком смысле	1	1
65	в литературном произведении	1	1
66	и что в	2	1
67	в противоречие с	1	1
68	не потому что	1	1
69	сознаться что он	1	1
70	в первом случае	1	1
71	в первый раз	2	1
72	именно в этой	1	1
73	в высшей степени	1	1
74	в конце концов	3	1
75	объясняется тем что	1	1
76	тот и другой	1	1
77	в том как	1	1
78	между тем в	1	1
79	и представлений с	1	1
80	с той же	1	1
81	приводит к тому	1	1
82	в том и	2	1
83	во всяком случае	2	1
84	одна и та	1	1
85	не только на	1	1
86	вне всякого сомнения	1	1
87	не имеет ничего	1	1
88	т п не	1	1
89	в свое время	1	1
90	в данном случае	4	1
91	как будто бы	1	1
92	узком смысле слова	1	1
93	по себе а	1	1
94	то что мы	1	1
95	в свою очередь	2	1
96	ничего общего с	1	1
97	с того что	1	1
98	этой точки зрения	2	1
99	с тем что	3	1
100	понятий и представлений	1	1
101	легко заметить что	1	1
102	не только не	1	1
103	знать об этом	1	1
104	же ошибочно как	1	1
105	даже не в	1	1
106	и которая не	1	1
107	за то что	1	1
108	друг от друга	1	1
109	если бы не	1	1
110	все же не	1	1
111	в том смысле	1	1
112	не любит а	1	1
113	с одной стороны	1	1
114	друг с другом	1	1
115	что для него	1	1
116	и каждый из	1	1
117	для нее было	1	1
118	формы и содержания	1	1
