N	2gram	Berdyaev_N_1	FransuaR
1	и в	16	45
2	и т.п	2	16
3	и не	11	15
4	в этом	7	14
5	но в	2	14
6	не только	5	14
7	во всех	3	13
8	и его	1	13
9	в его	1	13
10	во время	1	12
11	что в	9	12
12	в своем	1	11
13	в то	2	11
14	в нем	5	10
15	и с	2	10
16	как и	7	10
17	в том	8	10
18	но и	3	10
19	прежде всего	4	10
20	в ней	5	8
21	с миром	1	8
22	мира и	2	8
23	жизни и	8	8
24	так же	2	8
25	с его	6	7
26	том что	2	7
27	не в	6	7
28	потому что	4	7
29	в эпоху	9	7
30	в конце	1	7
31	и все	4	7
32	все это	5	7
33	в этой	1	6
34	он не	8	6
35	весь мир	1	6
36	в них	4	6
37	мысли и	2	6
38	в атмосфере	1	6
39	того чтобы	2	6
40	так и	2	6
41	что он	1	6
42	так как	1	6
43	для того	1	6
44	это и	2	5
45	с ее	5	5
46	и на	2	5
47	хотя и	2	5
48	и к	5	5
49	и у	1	5
50	все эти	2	5
51	с ним	1	5
52	и их	1	5
53	не может	16	5
54	но это	6	5
55	от всех	1	5
56	есть и	1	5
57	же как	2	4
58	мы уже	1	4
59	мы не	2	4
60	в сущности	1	4
61	но не	2	4
62	в самом	1	4
63	освобождение от	1	4
64	по своему	4	4
65	это было	3	4
66	своего рода	1	4
67	в основе	3	4
68	у него	2	4
69	и это	2	4
70	можно было	2	4
71	о том	4	4
72	и во	1	4
73	связаны с	2	4
74	только в	1	4
75	с этим	2	4
76	и даже	2	4
77	сказать что	3	4
78	а не	17	4
79	как это	2	4
80	и от	2	4
81	все они	2	4
82	а также	1	4
83	а в	2	4
84	как на	1	4
85	такой же	2	4
86	том числе	1	4
87	права и	2	3
88	ведь и	2	3
89	но она	2	3
90	того же	1	3
91	из этих	1	3
92	менее всего	1	3
93	как в	3	3
94	вообще не	1	3
95	что она	2	3
96	ни в	6	3
97	он и	1	3
98	до сих	1	3
99	в своей	3	3
100	не менее	4	3
101	мир и	2	3
102	не имеет	4	3
103	от того	1	3
104	то время	1	3
105	нем не	1	3
106	нуждается в	1	3
107	это не	4	3
108	для всех	1	3
109	есть в	2	3
110	но он	1	3
111	не было	4	3
112	вместе с	2	3
113	по существу	2	3
114	сих пор	1	3
115	и для	4	3
116	в этот	1	2
117	в средние	3	2
118	и есть	10	2
119	не хочет	1	2
120	и до	1	2
121	совершенно так	1	2
122	ренессанса и	1	2
123	говорить о	1	2
124	это время	1	2
125	в чем	1	2
126	отличие от	1	2
127	нет и	2	2
128	в истории	3	2
129	от этого	1	2
130	духа в	2	2
131	он в	1	2
132	роль в	2	2
133	перестает быть	4	2
134	в будущее	1	2
135	лишь в	6	2
136	она создает	1	2
137	было бы	1	2
138	для них	1	2
139	с тем	3	2
140	не столько	1	2
141	права на	2	2
142	во времени	1	2
143	свободы и	2	2
144	к ней	1	2
145	и мысли	1	2
146	за его	1	2
147	в духе	3	2
148	не могут	1	2
149	что все	2	2
150	числе и	1	2
151	к тому	3	2
152	должен быть	5	2
153	в средневековой	1	2
154	и что	2	2
155	шекспира и	1	2
156	еще в	1	2
157	самой жизни	2	2
158	мира а	2	2
159	можно сказать	1	2
160	в значительной	1	2
161	на всех	1	2
162	к нему	1	2
163	переходит в	1	2
164	и она	1	2
165	ли он	1	2
166	и жизни	1	2
167	в эти	1	2
168	века с	1	2
169	в большинстве	1	2
170	значение и	1	2
171	большинстве случаев	1	2
172	и нового	1	2
173	может быть	7	2
174	и только	1	2
175	в отличие	1	2
176	себя и	1	2
177	превращается в	1	2
178	от мира	1	2
179	во франции	1	2
180	труд и	1	2
181	будущее и	1	2
182	нет ни	1	2
183	конечно не	3	2
184	во все	1	2
185	войны и	2	2
186	только для	1	2
187	хочет и	1	2
188	жизнью в	2	2
189	в эту	1	2
190	хотя бы	2	2
191	то что	4	2
192	жизни в	3	2
193	в период	1	2
194	средние века	7	2
195	также что	1	1
196	он также	1	1
197	и через	1	1
198	связана с	2	1
199	становится в	1	1
200	века но	2	1
201	он может	1	1
202	сама себя	1	1
203	не имеют	2	1
204	и этот	1	1
205	жизни для	1	1
206	них будут	1	1
207	большую роль	4	1
208	как я	1	1
209	то это	1	1
210	жизни это	1	1
211	в покое	1	1
212	и мира	1	1
213	истории в	5	1
214	характерная для	1	1
215	красота и	1	1
216	за пределы	3	1
217	характер и	1	1
218	века и	2	1
219	стихии и	1	1
220	связанный с	1	1
221	тут нет	1	1
222	и родовой	1	1
223	сословия и	1	1
224	в себе	2	1
225	на иной	1	1
226	человек не	1	1
227	это связано	2	1
228	и еще	1	1
229	xix века	5	1
230	народ не	1	1
231	не могли	2	1
232	смысле как	1	1
233	в нее	1	1
234	в основу	1	1
235	но все	1	1
236	человека в	1	1
237	значительной степени	1	1
238	жить в	1	1
239	в одну	2	1
240	форм к	1	1
241	это принадлежит	1	1
242	значение в	1	1
243	в мире	3	1
244	них не	1	1
245	к природе	1	1
246	и мы	4	1
247	и правды	1	1
248	в жизни	5	1
249	старым миром	1	1
250	его было	1	1
251	что не	1	1
252	и формы	2	1
253	мир в	1	1
254	свободу от	1	1
255	всех великих	1	1
256	и того	1	1
257	но до	1	1
258	и сейчас	1	1
259	она сама	1	1
260	и всеми	1	1
261	в котором	1	1
262	бы к	1	1
263	за какие	1	1
264	своему духу	1	1
265	жизни с	1	1
266	обращение к	2	1
267	и более	1	1
268	их в	1	1
269	не должно	1	1
270	что этот	1	1
271	нас к	1	1
272	и вся	1	1
273	про него	1	1
274	культура средневековья	2	1
275	человечества и	1	1
276	эти формы	3	1
277	одна из	2	1
278	это всегда	1	1
279	есть еще	1	1
280	этого конечно	1	1
281	никогда не	6	1
282	избрания и	1	1
283	не по	1	1
284	как будто	2	1
285	в области	1	1
286	к той	1	1
287	у нас	1	1
288	в мировой	2	1
289	от жизни	1	1
290	выход из	1	1
291	это конечно	1	1
292	сама жизнь	2	1
293	бы он	1	1
294	в наши	3	1
295	всегда есть	1	1
296	социальные и	1	1
297	и потому	4	1
298	из ее	2	1
299	более не	2	1
300	эпоху ренессанса	1	1
301	формы и	2	1
302	средних веков	1	1
303	реальной силой	1	1
304	чтобы быть	1	1
305	приводит к	1	1
306	к жизни	3	1
307	для нового	2	1
308	и когда	1	1
309	в образе	1	1
310	времени и	2	1
311	еще не	3	1
312	к самой	2	1
313	не были	1	1
314	для этого	2	1
315	стремление к	2	1
316	смысле и	1	1
317	будет уже	2	1
318	с благоговением	1	1
319	движения и	1	1
320	в каком-то	1	1
321	римской империи	1	1
322	вот почему	2	1
323	свободы от	2	1
324	нашей жизни	1	1
325	времени в	2	1
326	на протяжении	2	1
327	и большая	2	1
328	я думаю	1	1
329	старого мира	3	1
330	в формах	1	1
331	в новой	7	1
332	время когда	1	1
333	речи о	1	1
334	он действует	1	1
335	и из	1	1
336	не будет	7	1
337	себя в	2	1
338	и роста	1	1
339	эти черты	1	1
340	и государства	1	1
341	свидетельствует о	1	1
342	из них	1	1
343	борьбу за	1	1
344	земли и	1	1
345	смену эпох	1	1
346	к ним	3	1
347	друг друга	1	1
348	не случайно	1	1
349	могли не	1	1
350	тем что	1	1
351	процесс в	1	1
352	знаем также	1	1
353	во власти	1	1
354	до начала	1	1
355	ней и	1	1
356	и человека	1	1
357	был в	1	1
358	нельзя сказать	1	1
359	к которому	1	1
360	и быть	1	1
361	было и	1	1
362	во внешней	1	1
363	всего мира	1	1
364	нового времени	12	1
365	связано с	1	1
366	и пр	3	1
367	не знает	6	1
368	еще достаточно	1	1
369	человеческой жизни	1	1
370	мы говорим	2	1
371	бытия как	1	1
372	власти и	1	1
373	когда она	1	1
374	себя на	1	1
375	как ни	1	1
376	в это	1	1
377	я называю	2	1
378	но оно	1	1
379	нужно признать	1	1
380	была уже	1	1
381	до этого	1	1
382	проблема жизни	1	1
383	эпох и	1	1
384	в речах	1	1
385	но сам	1	1
386	в той	1	1
387	и разложения	1	1
388	не удалось	1	1
389	ни одно	1	1
390	в человеческом	1	1
391	распадается на	1	1
392	человеком хотя	1	1
393	общественной жизни	6	1
394	находится во	1	1
395	и общественной	5	1
396	видят в	1	1
397	в более	1	1
398	строю жизни	2	1
399	это уже	1	1
400	одного и	1	1
401	не существует	3	1
402	средневековья и	2	1
403	получить силу	1	1
404	которая в	1	1
405	еще по	1	1
406	мира с	1	1
407	основе их	1	1
408	человека не	1	1
409	и начинается	2	1
410	в свою	1	1
411	жизни а	1	1
412	культуры в	5	1
413	старый мир	2	1
414	отдельных людей	3	1
415	можно назвать	2	1
416	во всяком	1	1
417	они не	1	1
