N	3gram	Berdyaev_V_1	EvropaiC
1	в том что	2	16
2	а между тем	2	7
3	по сравнению с	1	5
4	с другой стороны	1	4
5	в конце концов	1	4
6	том что он	2	2
7	бы то ни	1	2
8	вместе с тем	1	2
9	как и в	1	2
10	но все же	1	2
11	в вопросе о	2	2
12	никогда не было	1	1
13	во всем мире	1	1
14	за то что	3	1
15	по крайней мере	1	1
16	не так значительны	1	1
17	не будет уже	2	1
18	и в жизни	1	1
19	от него в	1	1
20	его к жизни	1	1
21	в одно целое	1	1
22	вместо того чтобы	2	1
23	и все это	1	1
24	и в сознании	1	1
25	самого себя и	1	1
26	пути на котором	1	1
27	к тому что	3	1
28	мы видим что	1	1
29	в мире если	2	1
