N	2gram	Medvedev_F_3	DiskursI
1	в себе	3	19
2	при этом	8	17
3	в этом	18	16
4	как и	14	16
5	и в	27	16
6	в качестве	1	16
7	может быть	25	16
8	и не	30	15
9	а не	17	14
10	отличие от	2	12
11	в отличие	2	12
12	в частности	1	12
13	но в	6	11
14	в мире	1	11
15	но и	10	11
16	со стороны	4	10
17	не только	9	10
18	том что	4	10
19	так и	21	9
20	не может	24	9
21	как в	4	8
22	в том	7	8
23	но не	5	7
24	в данном	6	7
25	в нем	15	7
26	ни в	8	7
27	не менее	7	7
28	прежде всего	4	7
29	то же	15	6
30	еще не	6	6
31	с его	2	6
32	данном случае	4	6
33	себя в	1	6
34	отнюдь не	8	6
35	все же	6	6
36	в своей	6	6
37	тем самым	1	6
38	в своих	6	6
39	и на	3	5
40	в своем	2	5
41	в то	7	5
42	с другой	6	5
43	же время	7	5
44	что в	8	5
45	для него	1	5
46	то что	8	5
47	ни к	1	5
48	героя в	3	5
49	я и	1	4
50	и то	1	4
51	по отношению	3	4
52	в этой	2	4
53	роль в	4	4
54	человека в	2	4
55	в основе	3	4
56	потому что	7	4
57	этом отношении	3	4
58	о том	4	4
59	в пределах	8	4
60	одного из	1	4
61	с одной	1	4
62	одно из	1	4
63	в одном	1	4
64	не сводится	1	4
65	одной стороны	1	4
66	как бы	8	4
67	ни для	2	4
68	не является	5	4
69	мира и	1	4
70	точки зрения	16	4
71	к его	3	4
72	к этому	2	4
73	отношению к	3	4
74	можно назвать	1	4
75	и ее	6	3
76	не знают	2	3
77	проявляется в	2	3
78	столь же	3	3
79	и как	4	3
80	все эти	6	3
81	из этих	2	3
82	он не	1	3
83	внутренней речи	2	3
84	из виду	2	3
85	не следует	3	3
86	и может	1	3
87	его в	7	3
88	это не	3	3
89	одного и	1	3
90	в этих	3	3
91	в котором	2	3
92	для данного	4	3
93	не в	12	3
94	на рубеже	1	3
95	могут быть	4	3
96	той или	1	3
97	еще в	3	3
98	в его	7	3
99	только в	8	3
100	с читателем	1	3
101	и его	19	3
102	уже не	3	3
103	из них	2	3
104	в них	3	3
105	из двух	1	3
106	или иной	2	3
107	здесь в	1	3
108	не было	1	3
109	не знает	1	3
110	мира в	1	3
111	в творчестве	1	3
112	в контексте	1	3
113	можно сказать	3	3
114	но это	2	3
115	и того	1	3
116	в пределе	2	3
117	и все	8	3
118	жизни в	3	3
119	становления и	2	3
120	жизни и	4	3
121	же как	3	2
122	того же	3	2
123	и это	2	2
124	той же	3	2
125	место в	10	2
126	совпадает с	2	2
127	говорить о	2	2
128	в ней	5	2
129	к своему	1	2
130	мы имеем	1	2
131	установку на	1	2
132	время в	3	2
133	стороны и	2	2
134	что как	1	2
135	дистанция между	1	2
136	отношения между	2	2
137	в целом	4	2
138	рассказа в	1	2
139	вследствие этого	3	2
140	должна быть	3	2
141	в первую	1	2
142	в принципе	1	2
143	не к	1	2
144	с таким	2	2
145	подобно тому	4	2
146	что ни	2	2
147	является не	2	2
148	одно и	1	2
149	же касается	1	2
150	и с	3	2
151	входит в	8	2
152	на почве	2	2
153	но уже	2	2
154	или из	1	2
155	должно быть	1	2
156	такой же	2	2
157	все это	7	2
158	на первый	1	2
159	этом случае	1	2
160	с точки	14	2
161	их в	3	2
162	дело в	2	2
163	между жизнью	3	2
164	к жанру	1	2
165	никогда не	5	2
166	сводится к	5	2
167	в области	2	2
168	в специальном	1	2
169	жанров в	2	2
170	жизнью и	2	2
171	с их	1	2
172	с ее	2	2
173	но при	2	2
174	здесь не	2	2
175	говорит об	1	2
176	в себя	1	2
177	не с	1	2
178	отсюда и	1	2
179	в результате	5	2
180	произведения как	6	2
181	там же	1	2
182	между тем	7	2
183	в языке	2	2
184	что и	2	2
185	или напротив	1	2
186	и всякое	2	2
187	романа и	2	2
