N	3gram	Vinokur_Vv_1	formyVre
1	и т п	5	11
2	с точки зрения	2	8
3	в связи с	2	7
4	для того чтобы	21	7
5	не только в	4	5
6	в том же	1	4
7	то же время	5	4
8	в то же	5	4
9	как мы уже	1	4
10	в эпоху возрождения	1	3
11	имеем в виду	1	3
12	и в особенности	4	3
13	в средние века	1	3
14	но и в	1	3
15	и в этом	3	3
16	и прежде всего	1	3
17	в том что	12	3
18	и т д	37	3
19	в другом месте	2	2
20	что в этом	2	2
21	прежде всего в	1	2
22	то же самое	2	2
23	в этом случае	6	2
24	до сих пор	5	2
25	все же в	1	2
26	каждом из них	1	2
27	может быть и	2	2
28	в этом отношении	3	2
29	связи с этим	1	2
30	мы имеем в	1	2
31	и того же	2	1
32	и говорить о	1	1
33	по вопросу о	1	1
34	на самом деле	1	1
35	каждой из них	1	1
36	не совпадающем с	1	1
37	как об этом	2	1
38	только в прямом	1	1
39	только в том	2	1
40	в конце концов	2	1
41	и закреплены традицией	1	1
42	в отличие от	3	1
43	а так как	2	1
44	но в этом	1	1
45	себе самому и	1	1
46	широком смысле слова	4	1
47	но и как	1	1
48	с этой точки	1	1
49	вместе с тем	3	1
50	одно и то	1	1
51	в особенности в	1	1
52	только в этом	1	1
53	в данном случае	4	1
54	с полной ясностью	1	1
55	с одной стороны	4	1
56	в значительной мере	1	1
57	можно говорить о	1	1
58	и то же	1	1
59	а также и	2	1
60	не могут не	1	1
61	быть и речи	1	1
62	по сравнению с	3	1
63	не до конца	2	1
64	во всех отношениях	1	1
65	как момент в	1	1
66	с другой стороны	5	1
67	не может быть	8	1
68	разумеется не в	1	1
69	прежде всего к	1	1
70	в широком смысле	7	1
71	но в то	3	1
72	имеет свои корни	1	1
73	этой точки зрения	1	1
74	в частности в	1	1
75	в свою очередь	1	1
76	в них и	1	1
77	о том что	12	1
78	с тем что	3	1
79	с самого начала	1	1
80	но все же	3	1
81	же в них	1	1
82	можно сказать что	3	1
83	и в результате	1	1
84	также и в	2	1
85	одного и того	2	1
86	в данном отношении	2	1
87	уже не только	1	1
88	к тому что	1	1
89	не входят в	1	1
90	вот почему в	1	1
91	нечего и говорить	1	1
92	свои корни в	1	1
93	нуждается в какой-то	1	1
94	как мы видели	2	1
95	той или иной	1	1
96	в точном смысле	1	1
