N	2gram	Medvedev_U_1	Narrotol
1	не только	10	32
2	может быть	6	25
3	но и	4	23
4	в качестве	1	21
5	и не	8	20
6	то есть	1	19
7	и в	14	19
8	в том	2	18
9	в этом	7	17
10	не в	2	14
11	в частности	3	14
12	том что	2	14
13	а не	10	12
14	то что	7	11
15	не может	7	10
16	так и	1	9
17	в его	2	9
18	в себе	2	8
19	с другой	4	8
20	все же	3	7
21	как и	3	7
22	и т.д	3	7
23	с одной	1	7
24	одной стороны	1	7
25	с его	2	6
26	но не	2	6
27	в той	1	6
28	о том	1	6
29	что он	2	6
30	иначе говоря	1	6
31	но в	3	6
32	не все	2	5
33	отнюдь не	1	5
34	уже не	1	5
35	в этой	4	5
36	далеко не	1	5
37	по себе	2	5
38	в данном	1	5
39	можно сказать	1	5
40	данном случае	1	4
41	то же	5	4
42	из которых	1	4
43	в противовес	2	4
44	в нем	1	4
45	же не	2	4
46	и с	2	4
47	было бы	3	4
48	не столько	2	4
49	о нем	1	4
50	же время	3	4
51	только в	2	4
52	хотя бы	5	4
53	у него	1	4
54	прежде всего	8	4
55	если не	2	4
56	же в	1	4
57	сказать что	1	4
58	другой стороны	3	4
59	же как	1	3
60	в ней	1	3
61	бы то	3	3
62	не есть	2	3
63	он не	1	3
64	то ни	3	3
65	в то	3	3
66	тем что	2	3
67	никогда не	1	3
68	этом отношении	2	3
69	могут быть	2	3
70	сводится к	2	3
71	в произведении	1	3
72	в конечном	4	3
73	между тем	2	3
74	не о	3	3
75	и даже	1	3
76	даже не	1	3
77	или иначе	1	3
78	не существует	1	3
79	что в	1	3
80	ни было	3	3
81	одним из	2	2
82	и потому	1	2
83	самом деле	2	2
84	должна быть	2	2
85	мы имеем	1	2
86	не то	1	2
87	нет и	1	2
88	первый взгляд	1	2
89	независимо от	1	2
90	в своем	1	2
91	что по	1	2
92	более или	1	2
93	всего лишь	1	2
94	так или	1	2
95	в известном	1	2
96	они в	1	2
97	не как	3	2
98	это не	3	2
99	на первый	2	2
100	или менее	1	2
101	она не	1	2
102	ничего не	2	2
103	как раз	2	2
104	в пределах	1	2
105	приводит к	1	2
106	в значительной	1	2
107	и только	5	2
108	он уже	1	2
109	конечном счете	4	2
110	одно из	1	2
111	для него	3	2
112	или даже	1	2
113	не случайно	2	2
114	в последние	1	2
115	и др	1	2
116	не было	1	2
117	его как	1	2
118	о чем	2	2
119	по существу	2	2
120	что мы	2	2
121	и для	2	2
122	и все	1	2
123	тем более	1	2
124	в таком	1	2
125	литературы а	1	1
126	эта позиция	1	1
127	и через	2	1
128	он может	1	1
129	она все	1	1
130	по его	1	1
131	часто бывает	1	1
132	мы и	2	1
133	сам по	1	1
134	меньшей степени	2	1
135	столько же	1	1
136	нам представляется	2	1
137	в различных	1	1
138	ее к	1	1
139	не входит	1	1
140	присущей ему	1	1
141	определяется не	1	1
142	в художественном	5	1
143	поэтика и	1	1
144	как нам	1	1
145	могли бы	2	1
146	как таковое	1	1
147	в самом	2	1
148	идет не	1	1
149	но по	1	1
150	формы в	3	1
151	претендует на	1	1
152	на его	1	1
153	в первую	1	1
154	ориентация на	1	1
155	или иных	2	1
156	таким образом	2	1
157	об этом	1	1
158	входит в	1	1
159	первую очередь	1	1
160	не меньшей	1	1
161	этом смысле	2	1
162	но именно	1	1
163	достоевского и	1	1
164	говорил в	1	1
165	он и	1	1
166	в не	1	1
167	мы не	2	1
168	думает о	1	1
169	как таковой	2	1
170	сводятся к	1	1
171	в котором	1	1
172	в их	4	1
173	вспять к	1	1
174	все и	1	1
175	в которых	1	1
176	признать что	1	1
177	для изучения	1	1
178	а.н веселовского	1	1
179	но он	1	1
180	в россии	4	1
181	что было	1	1
182	по крайней	2	1
183	их в	1	1
184	в конце	2	1
185	произведения в	1	1
186	тому чтобы	1	1
187	что этот	1	1
188	и то	3	1
189	восемь лет	1	1
190	может служить	1	1
191	в процессе	1	1
192	к изучению	1	1
193	почему в	1	1
194	это то	1	1
195	и является	2	1
196	и формального	1	1
197	и делает	1	1
198	только одним	1	1
199	в области	3	1
200	с другом	1	1
201	а как	2	1
202	у нас	3	1
203	представляется нам	2	1
204	очень часто	1	1
205	данного произведения	1	1
206	не могут	2	1
207	этого построения	1	1
208	же самое	2	1
209	но также	1	1
210	любопытно что	1	1
211	искусства как	2	1
212	для себя	1	1
213	что все	2	1
214	в виду	1	1
215	для читателя	1	1
216	слова а	1	1
217	начала и	1	1
218	было и	1	1
219	тот же	1	1
220	является в	2	1
221	строго говоря	1	1
222	если бы	2	1
223	никогда и	1	1
224	тех кто	1	1
225	историю в	1	1
226	нас в	2	1
227	что и	2	1
228	крайней мере	2	1
229	впрочем не	1	1
230	с которыми	1	1
231	того что	1	1
232	как целого	1	1
233	которое мы	1	1
234	т.д в	1	1
235	это же	1	1
236	образом на	1	1
237	для второго	1	1
238	и у	2	1
239	то и	1	1
240	его и	2	1
241	где бы	1	1
242	мы можем	1	1
243	само по	1	1
244	как такового	3	1
245	быть по	1	1
246	именно как	2	1
247	до сих	2	1
248	и прежде	1	1
249	и быть	1	1
250	некую систему	1	1
251	сдвиг в	1	1
252	детали как	1	1
253	полагая что	1	1
254	свой опыт	1	1
255	надо было	2	1
256	очевидно что	3	1
257	для первого	1	1
258	об ее	1	1
259	друг с	1	1
260	ней не	1	1
261	быть не	1	1
262	и формы	3	1
263	еще раз	1	1
264	представляется не	1	1
265	сих пор	2	1
266	по композиции	2	1
267	тех или	2	1
268	поэтикой и	1	1
269	в ноги	1	1
270	на большую	1	1
271	о котором	1	1
272	но это	2	1
273	в системе	2	1
274	на роль	1	1
275	героя не	1	1
276	а о	2	1
277	в свое	1	1
278	это было	2	1
279	от которой	1	1
280	и эта	1	1
