N	3gram	Losev_Vlad_3	VelikijI
1	к тому что	2	3
2	том что он	1	2
3	в вопросе о	2	2
4	в том что	10	2
5	то ни стало	2	1
6	во что бы	2	1
7	есть прежде всего	2	1
8	да и то	1	1
9	в виде целого	1	1
10	и то и	1	1
11	хотя бы и	3	1
12	находится в состоянии	1	1
13	еще не был	1	1
14	в конце истории	1	1
15	с тем чтобы	1	1
16	бы то ни	3	1
17	если оно не	1	1
18	то и другое	1	1
19	конечно ни в	1	1
20	вместе с тем	6	1
21	и в жизни	1	1
22	что бы то	2	1
23	и с достоинством	1	1
24	тому что все	1	1
25	в конце концов	5	1
26	в известном смысле	1	1
27	и в этом	5	1
28	взятого в его	1	1
29	с другой стороны	2	1
30	бог не есть	1	1
31	в истории и	1	1
32	раз и навсегда	1	1
33	в одно целое	1	1
34	против того что	1	1
35	и вместе с	2	1
36	и это еще	1	1
37	мы видим что	1	1
38	и что в	1	1
