N	2gram	Savitsky_P_1	DiskursI
1	в качестве	9	34
2	не только	17	28
3	в том	9	23
4	а не	2	22
5	том что	4	19
6	может быть	5	17
7	представляет собой	1	17
8	как и	1	16
9	и в	14	16
10	в этом	10	15
11	еще не	1	14
12	но и	6	14
13	прежде всего	3	11
14	но не	3	11
15	и не	12	11
16	далеко не	1	10
17	с другой	5	10
18	не может	4	9
19	в нем	3	9
20	одной стороны	3	9
21	с одной	3	9
22	в частности	2	9
23	но в	9	8
24	а также	4	8
25	отнюдь не	2	8
26	в себе	3	7
27	не было	2	7
28	не в	5	7
29	то же	9	7
30	в его	2	7
31	только в	7	7
32	со стороны	2	7
33	и как	3	6
34	ни к	1	6
35	в своем	4	6
36	по природе	1	5
37	по стилю	1	5
38	во всех	2	5
39	сводится к	3	5
40	в себя	1	5
41	то что	4	5
42	и на	1	5
43	отличие от	1	5
44	в силу	2	5
45	а с	1	5
46	в эпоху	1	5
47	в котором	4	5
48	в отличие	1	5
49	а в	4	5
50	в рамках	1	5
51	или иной	1	5
52	как бы	4	5
53	в данном	1	5
54	же время	7	4
55	в которых	5	4
56	что в	4	4
57	потому что	3	4
58	между тем	3	4
59	и к	4	4
60	что не	1	4
61	и о	5	4
62	в истории	1	4
63	в них	2	4
64	могут быть	3	4
65	не как	1	4
66	с его	1	4
67	все же	1	3
68	ведет к	1	3
69	точки зрения	3	3
70	хотя бы	8	3
71	по себе	4	3
72	ли не	1	3
73	в то	7	3
74	в ее	2	3
75	того что	2	3
76	что и	1	3
77	не с	1	3
78	различия между	1	3
79	с этим	2	3
80	и потому	4	3
81	к ним	1	3
82	другой стороны	1	3
83	именно в	2	3
84	в ходе	1	3
85	в самом	1	3
86	также и	1	3
87	столь же	3	3
88	это не	3	3
89	заключается в	3	3
90	из них	2	3
91	в сферу	1	3
92	еще в	1	3
93	в е	2	2
94	в значительной	2	2
95	о котором	1	2
96	может и	2	2
97	и ее	1	2
98	не менее	2	2
99	к другим	1	2
100	есть в	2	2
101	одновременно и	1	2
102	числе и	1	2
103	из двух	1	2
104	в какой	1	2
105	было в	2	2
106	это в	1	2
107	не более	1	2
108	и без	3	2
109	рассматривать как	1	2
110	стороны и	2	2
111	в начале	2	2
112	например в	2	2
113	частности в	1	2
114	во всяком	1	2
115	отношения к	2	2
116	сами по	3	2
117	но как	1	2
118	более чем	2	2
119	хотя и	3	2
120	в момент	1	2
121	и охватывает	1	2
122	они не	1	2
123	с ее	1	2
124	что с	1	2
125	тот или	1	2
126	никогда не	1	2
127	или менее	1	2
128	и тем	2	2
129	в этой	1	2
130	ей в	3	2
131	в историческом	1	2
132	мысли и	1	2
133	бы это	1	2
134	и что	1	2
135	как к	1	2
136	каждый в	2	2
