N	3gram	Propp_Russ_2	Problemy
1	в том что	18	6
2	и в этом	1	5
3	между тем как	1	4
4	не может быть	3	4
5	подобно тому как	3	3
6	не входит в	1	3
7	все то что	1	3
8	в этом отношении	1	3
9	во всяком случае	1	3
10	и это не	1	3
11	с другой стороны	1	3
12	для него не	1	2
13	но это не	1	2
14	как можно больше	2	2
15	т е в	5	2
16	в данном случае	6	2
17	можно было бы	1	2
18	т е не	1	2
19	в другом месте	1	1
20	потому что он	1	1
21	все в этой	1	1
22	же как и	2	1
23	дело в том	1	1
24	в свою очередь	1	1
25	так как в	1	1
26	в последний день	1	1
27	в этом случае	6	1
28	может быть назван	1	1
29	том что это	3	1
30	с таким же	1	1
31	в своей книге	2	1
32	и в других	4	1
33	а так как	1	1
34	то что в	1	1
35	но и эта	1	1
36	как мы уже	1	1
37	может быть только	2	1
38	но и как	1	1
39	всяком случае не	1	1
40	может быть и	1	1
41	если бы герой	1	1
42	то время как	1	1
43	так же как	4	1
44	но не только	1	1
45	в руках и	1	1
46	на первый взгляд	1	1
47	не только как	1	1
48	о том что	4	1
49	более или менее	1	1
50	таким образом в	1	1
51	тому как в	2	1
52	не в духе	1	1
53	духе а в	1	1
54	в духе а	1	1
55	в то время	2	1
56	это и есть	1	1
57	ни одна из	1	1
58	можно сказать что	1	1
59	в настоящее время	1	1
60	и когда ее	1	1
61	как одна из	1	1
62	или же в	1	1
63	не все в	1	1
64	для того чтобы	6	1
65	и т д	5	1
66	как мы видели	1	1
