N	4gram	Tiupa_Disk_1	Problemy
1	и не может быть	1	5
2	в то же время	3	5
3	в том числе и	2	3
4	большей или меньшей степени	1	2
5	нет и не может	1	2
6	в большей или меньшей	1	2
7	дело в том что	1	1
8	в строгом смысле а	1	1
9	отношения говорящего к собственному	1	1
10	было и не могло	1	1
11	одно и то же	1	1
12	диалогические отношения в том	1	1
13	и диалогические отношения говорящего	1	1
14	диалогические отношения говорящего к	1	1
15	и не могло быть	1	1
16	отношения в том числе	1	1
17	не было и не	1	1
18	дистанцию по отношению к	1	1
19	и в то же	1	1
20	с одной стороны и	2	1
21	говорящего к собственному слову	1	1
22	о том что было	1	1
23	из уст в уста	1	1
24	числе и диалогические отношения	1	1
25	одним и тем же	1	1
26	том числе и диалогические	1	1
27	во всех его разновидностях	1	1
