N	3gram	Ircho_Kome_3	Problema
1	по отношению к	3	19
2	и т п	3	13
3	с точки зрения	3	6
4	в отличие от	1	5
5	с другой стороны	2	4
6	в конечном счете	2	4
7	в самом деле	6	3
8	бы то ни	2	3
9	в основе своей	1	3
10	может быть только	1	3
11	далеко не всегда	1	3
12	с одной стороны	3	3
13	то же время	4	3
14	в том что	9	3
15	в то же	4	3
16	тем не менее	3	3
17	можно сказать что	1	2
18	в какой мере	2	2
19	то же самое	3	2
20	в том же	1	2
21	на первый план	1	2
22	и не может	1	2
23	и в то	1	2
24	и в частности	1	2
25	то ни было	2	2
26	так и в	1	2
27	точки зрения самого	1	2
28	в известной степени	2	2
29	для того чтобы	6	2
30	и с его	1	2
31	в этом отношении	2	2
32	хотя и не	2	1
33	и мы можем	1	1
34	его в том	1	1
35	в виду что	1	1
36	в свою очередь	6	1
37	не говоря уже	1	1
38	подобно тому как	1	1
39	в настоящее время	1	1
40	лишь средством для	1	1
41	все что угодно	1	1
42	о том как	3	1
43	одной стороны и	1	1
44	как можно скорее	1	1
45	до сих пор	9	1
46	говоря уже о	1	1
47	в ней как	1	1
48	что в некоторых	1	1
49	на то что	1	1
50	и не нуждается	1	1
51	несмотря на то	1	1
52	отнюдь не является	1	1
53	и несмотря на	1	1
54	уже за пределами	1	1
55	то время как	2	1
56	едва ли кто-нибудь	1	1
57	таким образом и	1	1
58	и в его	1	1
59	в некоторых случаях	1	1
60	и в этом	1	1
61	по сравнению с	2	1
62	по отношению ко	2	1
63	в связи с	3	1
64	но в основе	1	1
65	лицом к лицу	1	1
66	в свое время	1	1
67	и в свою	1	1
68	равно как и	1	1
69	в то время	2	1
70	человека и его	1	1
71	его отношение к	1	1
72	и т д	1	1
73	и в самом	3	1
74	ни одной из	1	1
75	вопрос о том	1	1
76	она не могла	1	1
77	к тому что	1	1
78	в первом случае	1	1
79	если бы не	1	1
80	но едва ли	1	1
81	и между ними	1	1
82	выходят за пределы	1	1
83	не нуждается в	1	1
