N	2gram	Bakhtin_KF_1	Retstnzi
1	не может	27	4
2	и в	24	3
3	один из	2	2
4	нет и	3	1
5	и можно	1	1
6	смысл и	6	1
7	лучше всего	1	1
8	и не	26	1
9	можно и	2	1
10	тому что	2	1
11	не только	5	1
12	ни один	1	1
13	к историческому	2	1
14	себя от	1	1
15	точки зрения	12	1
16	конечно и	1	1
17	во второй	1	1
18	но и	9	1
19	и должно	1	1
20	не менее	3	1
21	не из	2	1
22	в ней	3	1
23	на месте	1	1
24	в то	3	1
25	с точки	9	1
26	подхода к	2	1
27	и на	3	1
28	первая часть	1	1
29	права и	1	1
30	для него	8	1
31	в конкретном	1	1
32	методически не	1	1
33	мы видим	1	1
34	может не	2	1
35	оторвано от	1	1
36	к тому	1	1
37	а не	17	1
38	его от	1	1
39	может быть	45	1
40	несмотря на	1	1
41	всех участников	1	1
42	в его	40	1
43	же время	2	1
44	то же	5	1
45	и все	7	1
46	если бы	8	1
47	в каждом	3	1
