N	2gram	Ircho_Kome_1	EvropaiE
1	и в	22	37
2	в отношении	6	32
3	точки зрения	4	23
4	что в	6	21
5	не только	10	18
6	в то	10	16
7	то же	6	15
8	хотя бы	1	15
9	отношении к	1	15
10	в своем	1	14
11	но в	4	14
12	же время	4	14
13	в качестве	4	14
14	но и	11	14
15	и не	8	14
16	в этом	3	12
17	в их	4	11
18	в области	2	11
19	в том	11	11
20	с и	1	10
21	так и	5	10
22	отнюдь не	1	9
23	в себе	2	9
24	только в	3	9
25	прежде всего	5	9
26	все более	3	9
27	не может	2	9
28	так же	3	9
29	т е	13	9
30	было бы	2	8
31	к тому	6	8
32	между тем	5	8
33	с одной	3	8
34	одной стороны	3	8
35	также и	1	7
36	а также	4	7
37	того что	1	7
38	так как	4	7
39	с другой	5	7
40	как и	9	7
41	по своему	3	7
42	между прочим	2	7
43	может быть	9	6
44	и на	3	6
45	во всех	1	6
46	на то	3	6
47	то есть	1	6
48	том что	12	6
49	в современности	1	6
50	того чтобы	1	6
51	вслед за	2	6
52	вовсе не	2	6
53	для того	1	6
54	и даже	5	6
55	как бы	1	6
56	с этой	1	6
57	то что	2	6
58	же как	3	5
59	столь же	2	5
60	но не	2	5
61	не в	6	5
62	и по	6	5
63	к которым	1	5
64	но если	1	5
65	как мы	4	5
66	одной из	3	5
67	в виде	3	5
68	со стороны	2	5
69	в частности	3	5
70	и потому	1	5
71	в течение	3	5
72	в той	1	5
73	этой точки	1	5
74	то в	1	4
75	мы не	3	4
76	вопрос о	3	4
77	в ней	1	4
78	независимо от	2	4
79	в самом	2	4
80	культурной жизни	1	4
81	то ни	2	4
82	несмотря на	4	4
83	из числа	3	4
84	даже в	3	4
85	и притом	2	4
86	к ней	2	4
87	бы то	2	4
88	по себе	1	4
89	именно в	4	4
90	ни было	2	4
91	мира в	1	4
92	как это	3	4
93	сказать что	1	4
94	культуры в	1	4
95	в каком	1	4
96	в применении	1	3
97	идет о	3	3
98	из всех	2	3
99	на себя	2	3
100	того же	2	3
101	в общем	1	3
102	как в	5	3
103	когда он	1	3
104	и к	1	3
105	всего лишь	1	3
106	представляет собой	1	3
107	в известном	2	3
108	мы можем	4	3
109	не дает	1	3
110	большинстве случаев	1	3
111	и тем	2	3
112	в них	3	3
113	с тем	1	3
114	мы видели	2	3
115	во второй	3	3
116	народ и	1	3
117	в которых	1	3
118	европейской культуры	1	3
119	потому что	5	3
120	ли это	2	3
121	бы ни	1	3
122	можно было	1	3
123	о том	8	3
124	как было	1	3
125	от них	2	3
126	место в	3	3
127	что и	4	3
128	отметить что	1	3
129	и только	1	3
130	в стороне	1	3
131	всяком случае	2	3
132	этот факт	1	3
133	в данной	1	3
134	из них	10	3
135	очевидно что	1	3
136	потребность в	1	3
137	себе в	1	3
138	тем что	4	3
139	этом отношении	3	3
140	по своим	1	3
141	и прежде	1	3
142	в свою	2	3
143	в данном	1	3
144	применении к	1	3
145	и для	1	3
146	в результате	4	3
147	мира и	1	3
148	обстоит дело	1	3
149	в аттику	2	3
150	ее в	2	3
151	как на	1	3
152	в таком	1	3
153	во всяком	2	3
154	и наиболее	1	2
155	что эти	1	2
156	именно к	1	2
157	из того	1	2
158	населения и	1	2
159	друг от	1	2
160	в свои	3	2
161	в истории	5	2
162	с этим	1	2
163	хотя и	3	2
164	целый ряд	1	2
165	и как	3	2
166	что это	1	2
167	в этой	7	2
168	что к	2	2
169	бы от	1	2
170	главным образом	3	2
171	он не	3	2
172	и еще	3	2
173	в силу	2	2
174	таким образом	8	2
175	в мире	1	2
176	и с	3	2
177	к природе	1	2
178	для них	2	2
179	далеко не	1	2
180	в своих	2	2
181	такой же	2	2
182	в эту	1	2
183	в этих	1	2
184	в котором	4	2
185	представление о	1	2
186	не к	2	2
187	одном из	4	2
188	и более	1	2
189	в идеологическом	1	2
190	по своей	2	2
191	как будто	2	2
192	именно потому	2	2
193	что на	1	2
194	в порядке	1	2
195	не могут	1	2
196	могут быть	3	2
197	случаях когда	1	2
198	всего в	3	2
199	от друга	1	2
200	говоря уже	2	2
201	данном случае	1	2
202	культуры и	1	2
203	мог бы	2	2
204	наше внимание	1	2
205	второй половине	2	2
206	и что	1	2
207	в значительной	1	2
208	и во	2	2
209	к нему	2	2
210	ее от	1	2
211	в его	5	2
212	и можно	2	2
213	также в	2	2
214	начало в	1	2
215	и теперь	2	2
216	в большинстве	1	2
217	если в	1	2
218	и других	7	2
219	следует отметить	1	2
220	участие в	4	2
221	в одном	8	2
222	заметить что	1	2
223	в других	2	2
224	на уровне	1	2
225	в год	1	2
226	на основании	3	2
227	на этот	1	2
228	не означает	1	2
229	долгое время	1	2
230	что все	1	2
231	следовало бы	1	2
232	вместе с	2	2
233	за тем	2	2
234	или по	2	2
235	наряду с	2	2
236	что же	1	2
237	ко всему	1	2
238	войны и	5	2
239	или хотя	1	2
240	совершенно очевидно	1	2
241	и таким	2	2
242	с большой	1	2
243	или в	2	2
244	и все	3	2
245	бы в	1	2
246	еще более	1	2
247	стороны в	1	2
248	же в	4	2
249	а в	6	2
250	не говоря	2	2
251	другой стороны	5	2
252	жизни и	1	2
253	и эта	1	2
254	как известно	2	1
255	ту же	2	1
256	также что	1	1
257	ко всем	1	1
258	и т	9	1
259	мы здесь	1	1
260	в тех	3	1
261	не делает	1	1
262	и это	1	1
263	тех же	2	1
264	или к	1	1
265	видимо не	1	1
266	перед лицом	3	1
267	представленная в	2	1
268	речь идет	3	1
269	исходит из	1	1
270	той же	1	1
271	эту же	1	1
272	том насколько	2	1
273	из всего	2	1
274	который вздумал	1	1
275	ответить на	1	1
276	чтобы не	1	1
277	области идеологии	1	1
278	почти все	1	1
279	время как	4	1
280	говорить о	1	1
281	мы получаем	1	1
282	другу их	1	1
283	то это	1	1
284	в каждой	1	1
285	быть в	1	1
286	тот что	1	1
287	тем как	2	1
288	с до	1	1
289	к которой	1	1
290	силу этого	1	1
291	по отношению	3	1
292	отличие от	2	1
293	за пределы	2	1
294	к сожалению	2	1
295	относится к	2	1
296	и современную	1	1
297	как по	2	1
298	в рамках	2	1
299	для оценки	1	1
300	дает нам	1	1
301	поставлена в	1	1
302	что нет	1	1
303	все остальные	3	1
304	все же	3	1
305	однако не	1	1
306	тех случаях	1	1
307	в полном	1	1
308	смысле этого	1	1
309	что по	2	1
310	не являются	1	1
311	его к	1	1
312	более или	1	1
313	в этот	1	1
314	бы с	1	1
315	он в	1	1
316	чуть ли	1	1
317	и насколько	1	1
318	которые в	1	1
319	поскольку в	1	1
320	близости к	1	1
321	и тот	1	1
322	бы только	1	1
323	тому же	6	1
324	и те	1	1
325	на его	5	1
326	к выводу	1	1
327	при этом	5	1
328	т д	4	1
329	от которых	1	1
330	сожалению не	1	1
331	и когда	1	1
332	в принципе	2	1
333	состоит в	1	1
334	ли не	4	1
335	их будет	1	1
336	или вовсе	3	1
337	на этом	2	1
338	получает за	1	1
339	но все	1	1
340	значительной степени	1	1
341	до эпохи	1	1
342	тем с	1	1
343	было только	2	1
344	в нем	4	1
345	они должны	1	1
346	в совершенно	1	1
347	же касается	1	1
348	говорить не	1	1
349	как тот	1	1
350	не исключено	1	1
351	которая как	1	1
352	и служат	1	1
353	отражение в	1	1
354	перикла и	1	1
355	в жизни	1	1
356	о которых	5	1
357	соответствии с	1	1
358	всегда и	1	1
359	у народа	1	1
360	жизни но	1	1
361	приближающейся к	1	1
362	и целые	1	1
363	перед собой	1	1
364	стороне от	1	1
365	время для	1	1
366	или менее	2	1
367	и поскольку	1	1
368	например через	1	1
369	имел ли	1	1
370	обрывается на	1	1
371	жизни тех	1	1
372	в отличие	1	1
373	не представляется	1	1
374	для союзников	1	1
375	об их	1	1
376	друг другу	1	1
377	в современном	1	1
378	с такими	1	1
379	том же	1	1
380	для этого	2	1
381	с так	1	1
382	тому что	1	1
383	если и	1	1
384	за несколько	1	1
385	не менее	3	1
386	вплоть до	1	1
387	но они	1	1
388	и другое	1	1
389	в обоих	1	1
390	для каждого	1	1
391	правда в	2	1
392	одна из	2	1
393	чтобы в	1	1
394	можно судить	4	1
395	если ему	1	1
396	рассматривать как	1	1
397	казалось бы	3	1
398	именно с	1	1
399	аналогий в	1	1
400	благодаря своей	1	1
401	в форму	2	1
402	они являются	1	1
403	к концу	1	1
404	наряду со	1	1
405	на себе	1	1
406	за исключением	3	1
407	во всем	1	1
408	и его	8	1
409	можно рассматривать	1	1
410	не находим	1	1
411	мы бы	1	1
412	в сознании	3	1
413	следует что	1	1
414	у нас	3	1
415	перед ними	1	1
416	к сфере	1	1
417	мир в	1	1
418	его для	1	1
419	поскольку же	1	1
420	отказаться от	1	1
421	для себя	2	1
422	viii и	1	1
423	света в	1	1
424	и о	3	1
425	то чтобы	1	1
426	то время	5	1
427	в собственных	1	1
428	и сам	3	1
429	вышла из	1	1
430	этот период	1	1
431	с собой	1	1
432	те же	1	1
433	одного из	6	1
434	каждого из	1	1
435	об этом	1	1
436	еще в	5	1
437	когда в	1	1
438	к первому	1	1
439	по ее	1	1
440	не кто	1	1
441	с ним	1	1
442	означает что	1	1
443	вероятно что	3	1
444	связанное с	1	1
445	на вопрос	1	1
446	нас в	2	1
447	связанной с	1	1
448	затем в	2	1
449	первые в	1	1
450	но нельзя	1	1
451	всего этого	2	1
452	и следовательно	1	1
453	различия между	1	1
454	насколько можно	1	1
455	большей или	1	1
456	один из	5	1
457	iv в	5	1
458	в двух	1	1
459	тот же	3	1
460	дело с	1	1
461	этого можно	1	1
462	ли он	1	1
463	которое мы	1	1
464	который в	2	1
465	на которые	2	1
466	и ее	3	1
467	больше чем	1	1
468	со своим	5	1
469	уже в	5	1
470	на такой	1	1
471	то и	2	1
472	в начале	3	1
473	именно та	1	1
474	связывается с	1	1
475	этот раз	1	1
476	это обстоятельство	1	1
477	представить себе	1	1
478	как продолжение	1	1
479	у других	2	1
480	в последних	3	1
481	составных частей	1	1
482	от того	1	1
483	в более	3	1
484	богатство и	1	1
485	в исторической	1	1
486	даже не	2	1
487	или иначе	1	1
488	дает представление	2	1
489	эти две	1	1
490	к которому	3	1
491	или меньшей	1	1
492	в ряде	1	1
493	имело место	1	1
494	аттику и	1	1
495	по нынешним	1	1
496	защиты и	1	1
497	в соответствии	1	1
498	которых мы	2	1
499	на которых	1	1
500	если даже	1	1
501	свою пользу	1	1
502	из составных	1	1
503	него не	1	1
504	что из	1	1
505	та часть	1	1
506	мы знаем	2	1
